order_item_sk,order_item_id,order_id,order_date_sk,customer_sk,product_sk,channel_sk,store_sk,billing_address_sk,shipping_address_sk,status,currency_code,quantity,unit_price,discount_amount,gross_amount,net_amount,subtotal,tax_amount,shipping_fee,total_amount
16,5000000015,1000000008,0,1148,2,1,0,1022,494,FULFILLED,ARS,3,15000.0,4500.0,45000.0,40500.0,89100.0,18711.0,1200.0,109011.0
17,5000000016,1000000008,0,1148,1,1,0,1022,494,FULFILLED,ARS,1,12600.0,0.0,12600.0,12600.0,89100.0,18711.0,1200.0,109011.0
18,5000000017,1000000009,0,1037,2,1,0,101,978,PAID,ARS,1,13500.0,675.0,13500.0,12825.0,12825.0,2693.25,1200.0,16718.25
19,5000000018,1000000010,0,1336,2,2,1,0,1,REFUNDED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,0.0,17787.0
20,5000000019,1000000011,0,1239,2,2,4,1163,4,FULFILLED,ARS,1,15000.0,300.0,15000.0,14700.0,34140.0,7169.4,0.0,41309.4
21,5000000020,1000000011,0,1239,1,2,4,1163,4,FULFILLED,ARS,2,10800.0,2160.0,21600.0,19440.0,34140.0,7169.4,0.0,41309.4
22,5000000021,1000000012,0,1426,1,2,3,2393,3,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,0.0,42688.8
23,5000000022,1000000013,0,862,2,2,1,346,1,PAID,ARS,3,15750.0,2362.5,47250.0,44887.5,101887.5,21396.38,0.0,123283.88
24,5000000023,1000000013,0,862,1,2,1,346,1,PAID,ARS,3,12000.0,1800.0,36000.0,34200.0,101887.5,21396.38,0.0,123283.88
25,5000000024,1000000013,0,862,1,2,1,346,1,PAID,ARS,2,12000.0,1200.0,24000.0,22800.0,101887.5,21396.38,0.0,123283.88
26,5000000025,1000000014,0,181,1,1,0,1242,2921,PAID,ARS,1,12000.0,240.0,12000.0,11760.0,11760.0,2469.6,900.0,15129.6
27,5000000026,1000000015,0,700,1,1,0,2272,807,CANCELLED,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,1200.0,29659.2
28,5000000027,1000000016,0,475,1,1,0,589,2562,FULFILLED,ARS,2,12600.0,2520.0,25200.0,22680.0,22680.0,4762.8,1200.0,28642.8
29,5000000028,1000000017,0,753,2,2,2,2056,2,FULFILLED,ARS,2,15750.0,630.0,31500.0,30870.0,66870.0,14042.7,0.0,80912.7
30,5000000029,1000000017,0,753,1,2,2,2056,2,FULFILLED,ARS,3,12000.0,0.0,36000.0,36000.0,66870.0,14042.7,0.0,80912.7
31,5000000030,1000000018,0,1151,2,1,0,1716,1695,CANCELLED,ARS,1,13500.0,270.0,13500.0,13230.0,81990.0,17217.9,900.0,100107.9
32,5000000031,1000000018,0,1151,1,1,0,1716,1695,CANCELLED,ARS,2,13200.0,2640.0,26400.0,23760.0,81990.0,17217.9,900.0,100107.9
33,5000000032,1000000018,0,1151,2,1,0,1716,1695,CANCELLED,ARS,3,15000.0,0.0,45000.0,45000.0,81990.0,17217.9,900.0,100107.9
34,5000000033,1000000019,0,793,1,1,0,1527,2616,FULFILLED,ARS,3,12600.0,756.0,37800.0,37044.0,37044.0,7779.24,1200.0,46023.24
35,5000000034,1000000020,0,866,2,1,0,2937,2378,FULFILLED,ARS,3,16500.0,0.0,49500.0,49500.0,49500.0,10395.0,0.0,59895.0
36,5000000035,1000000021,0,1110,1,1,0,2250,1549,FULFILLED,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,1200.0,29659.2
37,5000000036,1000000022,0,854,1,2,1,1466,1,REFUNDED,ARS,2,12000.0,0.0,24000.0,24000.0,24000.0,5040.0,0.0,29040.0
38,5000000037,1000000023,0,379,2,2,3,2102,3,FULFILLED,ARS,2,15000.0,600.0,30000.0,29400.0,68400.0,14364.0,0.0,82764.0
39,5000000038,1000000023,0,379,1,2,3,2102,3,FULFILLED,ARS,1,12000.0,0.0,12000.0,12000.0,68400.0,14364.0,0.0,82764.0
40,5000000039,1000000023,0,379,2,2,3,2102,3,FULFILLED,ARS,2,15000.0,3000.0,30000.0,27000.0,68400.0,14364.0,0.0,82764.0
41,5000000040,1000000024,0,441,1,2,2,532,2,FULFILLED,ARS,1,12000.0,240.0,12000.0,11760.0,11760.0,2469.6,0.0,14229.6
42,5000000041,1000000025,0,125,2,1,0,1985,516,FULFILLED,ARS,3,15750.0,2362.5,47250.0,44887.5,70087.5,14718.38,1200.0,86005.88
43,5000000042,1000000025,0,125,1,1,0,1985,516,FULFILLED,ARS,2,12600.0,0.0,25200.0,25200.0,70087.5,14718.38,1200.0,86005.88
44,5000000043,1000000026,0,1201,2,1,0,3168,301,FULFILLED,ARS,1,15000.0,1500.0,15000.0,13500.0,13500.0,2835.0,1200.0,17535.0
45,5000000044,1000000027,0,1055,1,1,0,2325,1862,FULFILLED,ARS,2,12000.0,1200.0,24000.0,22800.0,22800.0,4788.0,900.0,28488.0
46,5000000045,1000000028,0,382,1,1,0,342,1423,FULFILLED,ARS,1,12000.0,0.0,12000.0,12000.0,12000.0,2520.0,0.0,14520.0
47,5000000046,1000000029,0,1456,2,1,0,414,1425,FULFILLED,ARS,2,16500.0,660.0,33000.0,32340.0,64740.0,13595.4,900.0,79235.4
48,5000000047,1000000029,0,1456,1,1,0,414,1425,FULFILLED,ARS,3,12000.0,3600.0,36000.0,32400.0,64740.0,13595.4,900.0,79235.4
49,5000000048,1000000030,0,1377,1,2,4,2585,4,PAID,ARS,3,12000.0,1800.0,36000.0,34200.0,34200.0,7182.0,0.0,41382.0
50,5000000049,1000000031,0,1375,1,2,4,928,4,PAID,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,0.0,28459.2
51,5000000050,1000000032,0,821,2,1,0,2185,924,FULFILLED,ARS,2,15000.0,3000.0,30000.0,27000.0,27000.0,5670.0,1200.0,33870.0
52,5000000051,1000000033,0,1475,2,2,4,2316,4,FULFILLED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,0.0,17787.0
53,5000000052,1000000034,0,634,2,2,2,1160,2,FULFILLED,ARS,3,15750.0,2362.5,47250.0,44887.5,85387.5,17931.38,0.0,103318.88
54,5000000053,1000000034,0,634,2,2,2,1160,2,FULFILLED,ARS,3,15000.0,4500.0,45000.0,40500.0,85387.5,17931.38,0.0,103318.88
55,5000000054,1000000035,0,585,1,2,1,2440,1,FULFILLED,ARS,2,12000.0,2400.0,24000.0,21600.0,21600.0,4536.0,0.0,26136.0
56,5000000055,1000000036,0,180,1,1,0,3142,1863,FULFILLED,ARS,2,12000.0,1200.0,24000.0,22800.0,49800.0,10458.0,900.0,61158.0
57,5000000056,1000000036,0,180,2,1,0,3142,1863,FULFILLED,ARS,2,15000.0,3000.0,30000.0,27000.0,49800.0,10458.0,900.0,61158.0
58,5000000057,1000000037,0,482,1,1,0,1548,2325,FULFILLED,ARS,2,12600.0,504.0,25200.0,24696.0,24696.0,5186.16,1200.0,31082.16
59,5000000058,1000000038,0,620,1,2,1,307,1,FULFILLED,ARS,1,12000.0,240.0,12000.0,11760.0,11760.0,2469.6,0.0,14229.6
60,5000000059,1000000039,0,603,1,2,1,3134,1,FULFILLED,ARS,3,10800.0,3240.0,32400.0,29160.0,59160.0,12423.6,0.0,71583.6
61,5000000060,1000000039,0,603,2,2,1,3134,1,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,59160.0,12423.6,0.0,71583.6
62,5000000061,1000000040,0,1028,1,1,0,2288,1149,CANCELLED,ARS,1,12000.0,600.0,12000.0,11400.0,11400.0,2394.0,1200.0,14994.0
63,5000000062,1000000041,0,1005,2,2,3,0,3,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,24510.0,5147.1,0.0,29657.1
64,5000000063,1000000041,0,1005,1,2,3,0,3,FULFILLED,ARS,1,10800.0,540.0,10800.0,10260.0,24510.0,5147.1,0.0,29657.1
65,5000000064,1000000042,0,790,1,1,0,742,33,FULFILLED,ARS,1,10800.0,540.0,10800.0,10260.0,10260.0,2154.6,1500.0,13914.6
66,5000000065,1000000043,0,665,1,1,0,2230,2043,PAID,ARS,3,13200.0,0.0,39600.0,39600.0,39600.0,8316.0,900.0,48816.0
67,5000000066,1000000044,0,562,2,1,0,0,1135,FULFILLED,ARS,2,15000.0,600.0,30000.0,29400.0,73500.0,15435.0,1500.0,90435.0
68,5000000067,1000000044,0,562,2,1,0,0,1135,FULFILLED,ARS,3,15000.0,900.0,45000.0,44100.0,73500.0,15435.0,1500.0,90435.0
69,5000000068,1000000045,0,998,1,1,0,2030,1984,FULFILLED,ARS,3,12000.0,0.0,36000.0,36000.0,36000.0,7560.0,900.0,44460.0
70,5000000069,1000000046,0,276,2,1,0,0,493,FULFILLED,ARS,2,16500.0,0.0,33000.0,33000.0,33000.0,6930.0,0.0,39930.0
71,5000000070,1000000047,0,1469,1,2,2,0,2,FULFILLED,ARS,1,12000.0,1200.0,12000.0,10800.0,10800.0,2268.0,0.0,13068.0
72,5000000071,1000000048,0,408,1,2,2,2369,2,CREATED,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,0.0,28459.2
73,5000000072,1000000049,0,1360,2,2,2,178,2,FULFILLED,ARS,3,13500.0,0.0,40500.0,40500.0,40500.0,8505.0,0.0,49005.0
74,5000000073,1000000050,0,1423,2,1,0,1107,665,FULFILLED,ARS,2,15000.0,1500.0,30000.0,28500.0,28500.0,5985.0,1200.0,35685.0
75,5000000074,1000000051,0,741,2,1,0,1344,1867,FULFILLED,ARS,2,15750.0,630.0,31500.0,30870.0,30870.0,6482.7,900.0,38252.7
76,5000000075,1000000052,0,969,1,1,0,0,1612,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,70560.0,14817.6,0.0,85377.6
77,5000000076,1000000052,0,969,1,1,0,0,1612,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,70560.0,14817.6,0.0,85377.6
78,5000000077,1000000053,0,729,2,1,0,2599,458,CANCELLED,ARS,2,15000.0,3000.0,30000.0,27000.0,27000.0,5670.0,900.0,33570.0
79,5000000078,1000000054,0,251,1,2,4,2469,4,PAID,ARS,1,12600.0,252.0,12600.0,12348.0,12348.0,2593.08,0.0,14941.08
80,5000000079,1000000055,0,1087,2,2,1,2309,1,PAID,ARS,3,15000.0,2250.0,45000.0,42750.0,42750.0,8977.5,0.0,51727.5
81,5000000080,1000000056,0,659,1,1,0,2450,1891,FULFILLED,ARS,2,12000.0,0.0,24000.0,24000.0,71025.0,14915.25,1200.0,87140.25
82,5000000081,1000000056,0,659,2,1,0,2450,1891,FULFILLED,ARS,3,16500.0,2475.0,49500.0,47025.0,71025.0,14915.25,1200.0,87140.25
83,5000000082,1000000057,0,338,2,2,4,630,4,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,28425.0,5969.25,0.0,34394.25
84,5000000083,1000000057,0,338,2,2,4,630,4,FULFILLED,ARS,1,15750.0,1575.0,15750.0,14175.0,28425.0,5969.25,0.0,34394.25
85,5000000084,1000000058,0,1068,2,1,0,3,2075,CANCELLED,ARS,1,16500.0,1650.0,16500.0,14850.0,43350.0,9103.5,1500.0,53953.5
86,5000000085,1000000058,0,1068,2,1,0,3,2075,CANCELLED,ARS,2,15000.0,1500.0,30000.0,28500.0,43350.0,9103.5,1500.0,53953.5
87,5000000086,1000000059,0,958,1,1,0,1977,2539,FULFILLED,ARS,3,12000.0,1800.0,36000.0,34200.0,64200.0,13482.0,0.0,77682.0
88,5000000087,1000000059,0,958,2,1,0,1977,2539,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,64200.0,13482.0,0.0,77682.0
89,5000000088,1000000060,0,428,1,2,4,337,4,CANCELLED,ARS,3,10800.0,3240.0,32400.0,29160.0,29160.0,6123.6,0.0,35283.6
90,5000000089,1000000061,0,1337,1,1,0,298,88,FULFILLED,ARS,1,12000.0,0.0,12000.0,12000.0,12000.0,2520.0,1200.0,15720.0
91,5000000090,1000000062,0,1442,2,2,3,696,3,FULFILLED,ARS,3,15000.0,0.0,45000.0,45000.0,45000.0,9450.0,0.0,54450.0
92,5000000091,1000000063,0,939,1,1,0,3172,410,FULFILLED,ARS,3,12600.0,756.0,37800.0,37044.0,37044.0,7779.24,1500.0,46323.24
93,5000000092,1000000064,0,1409,2,1,0,3175,311,FULFILLED,ARS,1,16500.0,1650.0,16500.0,14850.0,14850.0,3118.5,1200.0,19168.5
94,5000000093,1000000065,0,1062,1,1,0,2637,1403,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,1200.0,43888.8
95,5000000094,1000000066,0,988,1,1,0,1191,138,CANCELLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,1200.0,43888.8
96,5000000095,1000000067,0,778,2,1,0,1602,1252,REFUNDED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,900.0,18687.0
97,5000000096,1000000068,0,77,2,1,0,1747,624,PAID,ARS,1,15750.0,315.0,15750.0,15435.0,84435.0,17731.35,0.0,102166.35
98,5000000097,1000000068,0,77,1,1,0,1747,624,PAID,ARS,2,12000.0,0.0,24000.0,24000.0,84435.0,17731.35,0.0,102166.35
99,5000000098,1000000068,0,77,2,1,0,1747,624,PAID,ARS,3,15000.0,0.0,45000.0,45000.0,84435.0,17731.35,0.0,102166.35
100,5000000099,1000000069,0,700,2,1,0,1472,480,FULFILLED,ARS,3,15000.0,900.0,45000.0,44100.0,44100.0,9261.0,0.0,53361.0
101,5000000100,1000000070,0,425,1,1,0,2747,432,PAID,ARS,1,12000.0,0.0,12000.0,12000.0,12000.0,2520.0,900.0,15420.0
102,5000000101,1000000071,0,1271,1,2,3,1522,3,FULFILLED,ARS,1,12000.0,240.0,12000.0,11760.0,11760.0,2469.6,0.0,14229.6
103,5000000102,1000000072,0,1129,2,1,0,2125,2540,PAID,ARS,1,13500.0,675.0,13500.0,12825.0,12825.0,2693.25,1500.0,17018.25
104,5000000103,1000000073,0,1224,2,1,0,485,1123,PAID,ARS,1,15750.0,315.0,15750.0,15435.0,15435.0,3241.35,900.0,19576.35
105,5000000104,1000000074,0,446,1,1,0,3072,2068,FULFILLED,ARS,2,12600.0,1260.0,25200.0,23940.0,56340.0,11831.4,900.0,69071.4
106,5000000105,1000000074,0,446,1,1,0,3072,2068,FULFILLED,ARS,3,12000.0,3600.0,36000.0,32400.0,56340.0,11831.4,900.0,69071.4
107,5000000106,1000000075,0,867,2,1,0,1944,2685,FULFILLED,ARS,2,15000.0,600.0,30000.0,29400.0,29400.0,6174.0,900.0,36474.0
108,5000000107,1000000076,0,127,1,1,0,423,3189,FULFILLED,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,1200.0,29659.2
109,5000000108,1000000077,0,874,1,2,1,208,1,PAID,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,0.0,28459.2
110,5000000109,1000000078,0,814,2,1,0,374,2367,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,40650.0,8536.5,0.0,49186.5
111,5000000110,1000000078,0,814,1,1,0,374,2367,FULFILLED,ARS,2,13200.0,0.0,26400.0,26400.0,40650.0,8536.5,0.0,49186.5
112,5000000111,1000000079,0,1189,1,1,0,2306,840,PAID,ARS,1,10800.0,0.0,10800.0,10800.0,32400.0,6804.0,1200.0,40404.0
113,5000000112,1000000079,0,1189,1,1,0,2306,840,PAID,ARS,2,12000.0,2400.0,24000.0,21600.0,32400.0,6804.0,1200.0,40404.0
114,5000000113,1000000080,0,584,2,1,0,2170,69,FULFILLED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,900.0,18687.0
115,5000000114,1000000081,0,1433,1,1,0,2160,953,FULFILLED,ARS,2,12000.0,1200.0,24000.0,22800.0,52800.0,11088.0,900.0,64788.0
116,5000000115,1000000081,0,1433,2,1,0,2160,953,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,52800.0,11088.0,900.0,64788.0
117,5000000116,1000000082,0,670,1,1,0,2091,3103,FULFILLED,ARS,3,12000.0,1800.0,36000.0,34200.0,34200.0,7182.0,1200.0,42582.0
118,5000000117,1000000083,0,464,2,1,0,2869,842,REFUNDED,ARS,1,16500.0,0.0,16500.0,16500.0,38100.0,8001.0,1200.0,47301.0
119,5000000118,1000000083,0,464,1,1,0,2869,842,REFUNDED,ARS,2,12000.0,2400.0,24000.0,21600.0,38100.0,8001.0,1200.0,47301.0
120,5000000119,1000000084,0,535,2,1,0,0,153,PAID,ARS,1,15000.0,0.0,15000.0,15000.0,15000.0,3150.0,900.0,19050.0
121,5000000120,1000000085,0,655,1,1,0,2539,2185,FULFILLED,ARS,1,12600.0,252.0,12600.0,12348.0,12348.0,2593.08,1500.0,16441.08
122,5000000121,1000000086,0,833,1,1,0,855,2251,FULFILLED,ARS,1,12000.0,1200.0,12000.0,10800.0,10800.0,2268.0,1200.0,14268.0
123,5000000122,1000000087,0,490,1,1,0,1319,1449,CANCELLED,ARS,1,12000.0,600.0,12000.0,11400.0,11400.0,2394.0,1200.0,14994.0
124,5000000123,1000000088,0,360,2,1,0,104,1460,FULFILLED,ARS,2,15000.0,600.0,30000.0,29400.0,56400.0,11844.0,900.0,69144.0
125,5000000124,1000000088,0,360,2,1,0,104,1460,FULFILLED,ARS,2,15000.0,3000.0,30000.0,27000.0,56400.0,11844.0,900.0,69144.0
126,5000000125,1000000089,0,1227,2,1,0,2146,1176,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,14250.0,2992.5,1200.0,18442.5
127,5000000126,1000000090,0,624,1,1,0,2890,38,FULFILLED,ARS,2,12000.0,0.0,24000.0,24000.0,36825.0,7733.25,900.0,45458.25
128,5000000127,1000000090,0,624,2,1,0,2890,38,FULFILLED,ARS,1,13500.0,675.0,13500.0,12825.0,36825.0,7733.25,900.0,45458.25
129,5000000128,1000000091,0,228,2,1,0,1743,2302,FULFILLED,ARS,3,15750.0,2362.5,47250.0,44887.5,91192.5,19150.42,0.0,110342.92
130,5000000129,1000000091,0,228,2,1,0,1743,2302,FULFILLED,ARS,3,15750.0,945.0,47250.0,46305.0,91192.5,19150.42,0.0,110342.92
131,5000000130,1000000092,0,770,2,1,0,530,776,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,30000.0,6300.0,900.0,37200.0
132,5000000131,1000000093,0,54,2,2,2,2329,2,FULFILLED,ARS,3,15000.0,0.0,45000.0,45000.0,84675.0,17781.75,0.0,102456.75
133,5000000132,1000000093,0,54,1,2,2,2329,2,FULFILLED,ARS,2,12000.0,0.0,24000.0,24000.0,84675.0,17781.75,0.0,102456.75
134,5000000133,1000000093,0,54,2,2,2,2329,2,FULFILLED,ARS,1,16500.0,825.0,16500.0,15675.0,84675.0,17781.75,0.0,102456.75
135,5000000134,1000000094,0,1006,1,2,4,2237,4,PAID,ARS,3,12000.0,1800.0,36000.0,34200.0,74700.0,15687.0,0.0,90387.0
136,5000000135,1000000094,0,1006,2,2,4,2237,4,PAID,ARS,3,13500.0,0.0,40500.0,40500.0,74700.0,15687.0,0.0,90387.0
137,5000000136,1000000095,0,247,2,1,0,1236,1295,FULFILLED,ARS,3,16500.0,990.0,49500.0,48510.0,48510.0,10187.1,1200.0,59897.1
138,5000000137,1000000096,0,1127,1,2,3,1319,3,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,0.0,42688.8
139,5000000138,1000000097,0,757,2,2,2,2453,2,FULFILLED,ARS,1,15750.0,315.0,15750.0,15435.0,15435.0,3241.35,0.0,18676.35
140,5000000139,1000000098,0,520,1,1,0,3135,2447,FULFILLED,ARS,3,12600.0,1890.0,37800.0,35910.0,35910.0,7541.1,900.0,44351.1
141,5000000140,1000000099,0,258,1,1,0,1515,228,FULFILLED,ARS,1,12000.0,0.0,12000.0,12000.0,12000.0,2520.0,0.0,14520.0
142,5000000141,1000000100,0,467,1,1,0,1636,1889,CANCELLED,ARS,1,10800.0,0.0,10800.0,10800.0,23148.0,4861.08,900.0,28909.08
143,5000000142,1000000100,0,467,1,1,0,1636,1889,CANCELLED,ARS,1,12600.0,252.0,12600.0,12348.0,23148.0,4861.08,900.0,28909.08
144,5000000143,1000000101,0,3,1,1,0,2640,223,PAID,ARS,3,12000.0,0.0,36000.0,36000.0,36000.0,7560.0,900.0,44460.0
145,5000000144,1000000102,0,334,1,1,0,2620,2867,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,1200.0,43888.8
146,5000000145,1000000103,0,802,1,2,3,553,3,CREATED,ARS,3,10800.0,1620.0,32400.0,30780.0,30780.0,6463.8,0.0,37243.8
147,5000000146,1000000104,0,999,2,1,0,255,3052,REFUNDED,ARS,2,15000.0,0.0,30000.0,30000.0,30000.0,6300.0,1200.0,37500.0
148,5000000147,1000000105,0,176,1,1,0,462,2444,FULFILLED,ARS,2,12000.0,2400.0,24000.0,21600.0,21600.0,4536.0,1200.0,27336.0
149,5000000148,1000000106,0,801,2,1,0,607,2960,FULFILLED,ARS,1,15000.0,0.0,15000.0,15000.0,15000.0,3150.0,900.0,19050.0
150,5000000149,1000000107,0,1113,1,1,0,751,1947,FULFILLED,ARS,3,12600.0,3780.0,37800.0,34020.0,34020.0,7144.2,900.0,42064.2
151,5000000150,1000000108,0,810,2,2,4,0,4,FULFILLED,ARS,3,15750.0,945.0,47250.0,46305.0,46305.0,9724.05,0.0,56029.05
152,5000000151,1000000109,0,581,1,2,4,704,4,FULFILLED,ARS,2,12000.0,2400.0,24000.0,21600.0,33000.0,6930.0,0.0,39930.0
153,5000000152,1000000109,0,581,1,2,4,704,4,FULFILLED,ARS,1,12000.0,600.0,12000.0,11400.0,33000.0,6930.0,0.0,39930.0
154,5000000153,1000000110,0,1284,1,2,2,3026,2,CANCELLED,ARS,2,12000.0,480.0,24000.0,23520.0,68070.0,14294.7,0.0,82364.7
155,5000000154,1000000110,0,1284,2,2,2,3026,2,CANCELLED,ARS,3,16500.0,4950.0,49500.0,44550.0,68070.0,14294.7,0.0,82364.7
156,5000000155,1000000111,0,1333,2,1,0,2902,1880,FULFILLED,ARS,1,15750.0,315.0,15750.0,15435.0,15435.0,3241.35,1200.0,19876.35
157,5000000156,1000000112,0,24,1,2,2,806,2,PAID,ARS,3,12600.0,3780.0,37800.0,34020.0,76770.0,16121.7,0.0,92891.7
158,5000000157,1000000112,0,24,2,2,2,806,2,PAID,ARS,3,15000.0,2250.0,45000.0,42750.0,76770.0,16121.7,0.0,92891.7
159,5000000158,1000000113,0,1222,1,2,1,1895,1,CANCELLED,ARS,1,13200.0,264.0,13200.0,12936.0,12936.0,2716.56,0.0,15652.56
160,5000000159,1000000114,0,63,1,2,1,2180,1,PAID,ARS,1,10800.0,1080.0,10800.0,9720.0,9720.0,2041.2,0.0,11761.2
161,5000000160,1000000115,0,1078,1,1,0,2864,3,REFUNDED,ARS,2,12000.0,2400.0,24000.0,21600.0,21600.0,4536.0,1500.0,27636.0
162,5000000161,1000000116,0,1091,1,1,0,2787,2613,FULFILLED,ARS,3,13200.0,0.0,39600.0,39600.0,39600.0,8316.0,1200.0,49116.0
163,5000000162,1000000117,0,524,1,1,0,3173,1258,FULFILLED,ARS,2,12000.0,0.0,24000.0,24000.0,24000.0,5040.0,1200.0,30240.0
164,5000000163,1000000118,0,1229,1,1,0,1458,2394,FULFILLED,ARS,3,13200.0,792.0,39600.0,38808.0,38808.0,8149.68,900.0,47857.68
165,5000000164,1000000119,0,458,2,2,4,2845,4,FULFILLED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,0.0,17787.0
166,5000000165,1000000120,0,68,1,1,0,1466,1657,FULFILLED,ARS,1,12000.0,240.0,12000.0,11760.0,11760.0,2469.6,0.0,14229.6
167,5000000166,1000000121,0,959,1,2,4,2706,4,FULFILLED,ARS,3,13200.0,1980.0,39600.0,37620.0,37620.0,7900.2,0.0,45520.2
168,5000000167,1000000122,0,356,1,2,1,3167,1,FULFILLED,ARS,3,12000.0,0.0,36000.0,36000.0,36000.0,7560.0,0.0,43560.0
169,5000000168,1000000123,0,530,2,1,0,1284,5,CANCELLED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,1200.0,18987.0
170,5000000169,1000000124,0,1420,1,1,0,1268,3008,FULFILLED,ARS,1,10800.0,216.0,10800.0,10584.0,54684.0,11483.64,1200.0,67367.64
171,5000000170,1000000124,0,1420,2,1,0,1268,3008,FULFILLED,ARS,3,15000.0,900.0,45000.0,44100.0,54684.0,11483.64,1200.0,67367.64
172,5000000171,1000000125,0,279,2,2,3,954,3,FULFILLED,ARS,3,15000.0,4500.0,45000.0,40500.0,51300.0,10773.0,0.0,62073.0
173,5000000172,1000000125,0,279,1,2,3,954,3,FULFILLED,ARS,1,12000.0,1200.0,12000.0,10800.0,51300.0,10773.0,0.0,62073.0
174,5000000173,1000000126,0,779,2,2,3,206,3,FULFILLED,ARS,1,15000.0,0.0,15000.0,15000.0,15000.0,3150.0,0.0,18150.0
175,5000000174,1000000127,0,1383,2,1,0,3141,2117,FULFILLED,ARS,2,15000.0,1500.0,30000.0,28500.0,56850.0,11938.5,1200.0,69988.5
