nps_sk,nps_id,customer_sk,channel_sk,responded_date_sk,score,comment,comment_length
133,13000000132,771,2,0,8.0,Entrega rápida y producto excelente,35
134,13000000133,158,1,0,0.0,Atención muy buena,18
135,13000000134,811,1,0,1.0,,3
136,13000000135,1369,1,0,8.0,Podría mejorar el empaque,25
137,13000000136,131,2,0,8.0,Atención muy buena,18
138,13000000137,69,2,0,9.0,,3
139,13000000138,395,1,0,9.0,Muy conforme con la calidad,27
140,13000000139,1106,2,0,6.0,Entrega rápida y producto excelente,35
141,13000000140,4,1,0,0.0,Atención muy buena,18
142,13000000141,292,1,0,7.0,,3
143,13000000142,1467,1,0,5.0,Entrega rápida y producto excelente,35
144,13000000143,317,1,0,1.0,Todo perfecto,13
145,13000000144,1374,2,0,10.0,Todo perfecto,13
146,13000000145,607,1,0,6.0,,3
147,13000000146,661,1,0,8.0,,3
148,13000000147,315,1,0,7.0,,3
149,13000000148,522,2,0,0.0,Podría mejorar el empaque,25
150,13000000149,697,1,0,2.0,Entrega rápida y producto excelente,35
151,13000000150,1351,1,0,5.0,Todo perfecto,13
152,13000000151,1209,2,0,9.0,Tardó un poco más de lo esperado,32
153,13000000152,93,1,0,8.0,Tardó un poco más de lo esperado,32
154,13000000153,8,2,0,8.0,,3
155,13000000154,1487,1,0,8.0,Todo perfecto,13
156,13000000155,501,1,0,9.0,,3
157,13000000156,949,1,0,8.0,,3
158,13000000157,745,1,0,10.0,Atención muy buena,18
159,13000000158,58,2,0,8.0,Atención muy buena,18
160,13000000159,1226,1,0,9.0,Muy conforme con la calidad,27
161,13000000160,952,2,0,8.0,Podría mejorar el empaque,25
162,13000000161,1424,1,0,7.0,Podría mejorar el empaque,25
163,13000000162,146,1,0,8.0,Volvería a comprar,18
164,13000000163,831,1,0,3.0,Todo perfecto,13
165,13000000164,991,1,0,0.0,Tardó un poco más de lo esperado,32
166,13000000165,485,1,0,8.0,Tardó un poco más de lo esperado,32
167,13000000166,789,2,0,4.0,Volvería a comprar,18
168,13000000167,1456,1,0,1.0,Entrega rápida y producto excelente,35
169,13000000168,1341,2,0,8.0,Todo perfecto,13
170,13000000169,993,1,0,7.0,Entrega rápida y producto excelente,35
171,13000000170,710,2,0,8.0,,3
172,13000000171,609,1,0,6.0,,3
173,13000000172,763,1,0,4.0,Tardó un poco más de lo esperado,32
174,13000000173,1356,1,0,1.0,Volvería a comprar,18
175,13000000174,1275,2,0,7.0,Entrega rápida y producto excelente,35
176,13000000175,490,2,0,9.0,Todo perfecto,13
177,13000000176,523,1,0,9.0,,3
178,13000000177,1234,2,0,9.0,Volvería a comprar,18
179,13000000178,1163,1,0,8.0,,3
180,13000000179,406,2,0,8.0,Atención muy buena,18
181,13000000180,835,1,0,2.0,Volvería a comprar,18
182,13000000181,320,1,0,8.0,Volvería a comprar,18
183,13000000182,414,1,0,7.0,Muy conforme con la calidad,27
184,13000000183,1463,1,0,9.0,,3
185,13000000184,928,2,0,10.0,,3
186,13000000185,643,1,0,9.0,Podría mejorar el empaque,25
187,13000000186,999,2,0,2.0,,3
188,13000000187,207,1,0,7.0,Muy conforme con la calidad,27
189,13000000188,641,1,0,0.0,Entrega rápida y producto excelente,35
190,13000000189,1110,1,0,1.0,Podría mejorar el empaque,25
191,13000000190,1062,1,0,8.0,Todo perfecto,13
192,13000000191,698,1,0,1.0,,3
193,13000000192,1236,1,0,10.0,Todo perfecto,13
194,13000000193,755,1,0,8.0,Volvería a comprar,18
195,13000000194,329,1,0,7.0,Podría mejorar el empaque,25
196,13000000195,800,1,0,7.0,Todo perfecto,13
197,13000000196,678,1,0,10.0,Todo perfecto,13
198,13000000197,1383,1,0,10.0,Tardó un poco más de lo esperado,32
199,13000000198,1251,1,0,10.0,Todo perfecto,13
200,13000000199,1252,1,0,7.0,Entrega rápida y producto excelente,35
201,13000000200,283,1,0,5.0,Todo perfecto,13
202,13000000201,907,2,0,2.0,Todo perfecto,13
203,13000000202,893,1,0,1.0,Entrega rápida y producto excelente,35
204,13000000203,413,2,0,8.0,Volvería a comprar,18
205,13000000204,788,2,0,10.0,Podría mejorar el empaque,25
206,13000000205,350,2,0,8.0,Todo perfecto,13
207,13000000206,758,2,0,5.0,Muy conforme con la calidad,27
208,13000000207,699,2,0,10.0,Muy conforme con la calidad,27
209,13000000208,689,1,0,9.0,Tardó un poco más de lo esperado,32
210,13000000209,348,1,0,1.0,Tardó un poco más de lo esperado,32
211,13000000210,974,1,0,9.0,Entrega rápida y producto excelente,35
212,13000000211,444,1,0,7.0,Muy conforme con la calidad,27
213,13000000212,96,1,0,9.0,Tardó un poco más de lo esperado,32
214,13000000213,674,1,0,7.0,Podría mejorar el empaque,25
215,13000000214,867,1,0,8.0,Muy conforme con la calidad,27
216,13000000215,686,1,0,7.0,,3
217,13000000216,640,1,0,10.0,Todo perfecto,13
218,13000000217,1191,1,0,9.0,Entrega rápida y producto excelente,35
219,13000000218,321,2,0,5.0,Volvería a comprar,18
220,13000000219,1045,1,0,3.0,Entrega rápida y producto excelente,35
221,13000000220,644,2,0,10.0,Atención muy buena,18
222,13000000221,514,2,0,8.0,Todo perfecto,13
223,13000000222,649,1,0,6.0,,3
224,13000000223,1294,2,0,5.0,Podría mejorar el empaque,25
225,13000000224,814,2,0,4.0,Volvería a comprar,18
226,13000000225,801,1,0,7.0,Entrega rápida y producto excelente,35
227,13000000226,351,1,0,5.0,Todo perfecto,13
228,13000000227,838,2,0,8.0,Todo perfecto,13
229,13000000228,78,1,0,6.0,Podría mejorar el empaque,25
230,13000000229,1338,1,0,2.0,Podría mejorar el empaque,25
231,13000000230,182,2,0,7.0,,3
232,13000000231,560,1,0,4.0,Atención muy buena,18
233,13000000232,1390,1,0,6.0,,3
234,13000000233,130,2,0,4.0,Tardó un poco más de lo esperado,32
235,13000000234,1143,2,0,2.0,Muy conforme con la calidad,27
236,13000000235,223,2,0,7.0,Atención muy buena,18
237,13000000236,622,1,0,2.0,Volvería a comprar,18
238,13000000237,1328,1,0,9.0,Muy conforme con la calidad,27
239,13000000238,1192,1,0,7.0,Tardó un poco más de lo esperado,32
240,13000000239,119,1,0,2.0,Tardó un poco más de lo esperado,32
241,13000000240,1115,1,0,8.0,Podría mejorar el empaque,25
242,13000000241,49,1,0,8.0,Todo perfecto,13
243,13000000242,1133,2,0,5.0,Muy conforme con la calidad,27
244,13000000243,193,1,0,9.0,Volvería a comprar,18
245,13000000244,539,1,0,6.0,Tardó un poco más de lo esperado,32
246,13000000245,200,1,0,7.0,Podría mejorar el empaque,25
247,13000000246,1084,1,0,10.0,Podría mejorar el empaque,25
248,13000000247,422,2,0,10.0,Entrega rápida y producto excelente,35
249,13000000248,348,2,0,6.0,Entrega rápida y producto excelente,35
250,13000000249,951,1,0,9.0,Volvería a comprar,18
251,13000000250,251,2,0,7.0,Tardó un poco más de lo esperado,32
252,13000000251,26,1,0,8.0,Atención muy buena,18
253,13000000252,1063,2,0,6.0,Volvería a comprar,18
254,13000000253,271,1,0,8.0,Podría mejorar el empaque,25
255,13000000254,567,1,0,9.0,Entrega rápida y producto excelente,35
256,13000000255,254,1,0,9.0,Atención muy buena,18
257,13000000256,66,2,0,6.0,Entrega rápida y producto excelente,35
258,13000000257,518,1,0,0.0,Entrega rápida y producto excelente,35
259,13000000258,603,1,0,7.0,Tardó un poco más de lo esperado,32
260,13000000259,321,1,0,4.0,,3
261,13000000260,1210,2,0,9.0,Tardó un poco más de lo esperado,32
262,13000000261,407,2,0,7.0,Atención muy buena,18
263,13000000262,996,2,0,9.0,Podría mejorar el empaque,25
264,13000000263,1192,2,0,8.0,Tardó un poco más de lo esperado,32
265,13000000264,221,1,0,1.0,Podría mejorar el empaque,25
266,13000000265,1189,1,0,6.0,Muy conforme con la calidad,27
267,13000000266,1230,1,0,9.0,Todo perfecto,13
268,13000000267,244,1,0,6.0,Podría mejorar el empaque,25
269,13000000268,416,1,0,6.0,Entrega rápida y producto excelente,35
270,13000000269,289,2,0,7.0,,3
271,13000000270,233,1,0,0.0,Todo perfecto,13
272,13000000271,300,1,0,7.0,Todo perfecto,13
273,13000000272,1066,1,0,5.0,Atención muy buena,18
274,13000000273,854,2,0,10.0,Atención muy buena,18
275,13000000274,1339,1,0,7.0,Tardó un poco más de lo esperado,32
276,13000000275,484,1,0,10.0,Todo perfecto,13
277,13000000276,948,1,0,6.0,Entrega rápida y producto excelente,35
278,13000000277,713,1,0,6.0,Tardó un poco más de lo esperado,32
279,13000000278,1466,1,0,9.0,Entrega rápida y producto excelente,35
280,13000000279,426,1,0,7.0,Atención muy buena,18
281,13000000280,1313,1,0,0.0,Todo perfecto,13
282,13000000281,995,1,0,4.0,Muy conforme con la calidad,27
283,13000000282,499,1,0,8.0,Tardó un poco más de lo esperado,32
284,13000000283,1408,2,0,7.0,Tardó un poco más de lo esperado,32
285,13000000284,498,1,0,8.0,Entrega rápida y producto excelente,35
286,13000000285,840,1,0,6.0,Muy conforme con la calidad,27
287,13000000286,92,1,0,9.0,Tardó un poco más de lo esperado,32
288,13000000287,1449,2,0,9.0,Tardó un poco más de lo esperado,32
289,13000000288,1129,2,0,7.0,Entrega rápida y producto excelente,35
290,13000000289,972,2,0,8.0,,3
291,13000000290,260,2,0,8.0,Volvería a comprar,18
292,13000000291,683,2,0,4.0,Tardó un poco más de lo esperado,32
293,13000000292,1042,1,0,2.0,Volvería a comprar,18
294,13000000293,1422,1,0,6.0,Muy conforme con la calidad,27
295,13000000294,1347,2,0,9.0,,3
296,13000000295,705,2,0,8.0,Muy conforme con la calidad,27
297,13000000296,1306,2,0,10.0,Entrega rápida y producto excelente,35
298,13000000297,327,2,0,0.0,Entrega rápida y producto excelente,35
299,13000000298,1119,1,0,5.0,Podría mejorar el empaque,25
300,13000000299,2,1,0,10.0,Muy conforme con la calidad,27
301,13000000300,988,1,0,8.0,Podría mejorar el empaque,25
302,13000000301,1485,1,0,8.0,Atención muy buena,18
303,13000000302,791,1,0,8.0,Volvería a comprar,18
304,13000000303,204,1,0,9.0,Podría mejorar el empaque,25
305,13000000304,22,2,0,8.0,Entrega rápida y producto excelente,35
306,13000000305,510,2,0,1.0,,3
307,13000000306,614,2,0,9.0,,3
308,13000000307,27,2,0,9.0,Podría mejorar el empaque,25
309,13000000308,1319,2,0,6.0,Todo perfecto,13
310,13000000309,845,1,0,9.0,Volvería a comprar,18
311,13000000310,783,2,0,5.0,Muy conforme con la calidad,27
312,13000000311,1350,1,0,9.0,,3
313,13000000312,773,1,0,7.0,Todo perfecto,13
314,13000000313,1457,1,0,4.0,Tardó un poco más de lo esperado,32
315,13000000314,1488,1,0,9.0,Atención muy buena,18
316,13000000315,1286,1,0,10.0,Muy conforme con la calidad,27
317,13000000316,1306,1,0,9.0,Tardó un poco más de lo esperado,32
318,13000000317,397,2,0,8.0,Podría mejorar el empaque,25
319,13000000318,341,1,0,4.0,Entrega rápida y producto excelente,35
320,13000000319,1475,2,0,9.0,Entrega rápida y producto excelente,35
321,13000000320,963,1,0,5.0,Entrega rápida y producto excelente,35
322,13000000321,423,1,0,9.0,Todo perfecto,13
323,13000000322,1176,2,0,9.0,Entrega rápida y producto excelente,35
324,13000000323,1128,2,0,8.0,Tardó un poco más de lo esperado,32
325,13000000324,56,1,0,8.0,Todo perfecto,13
326,13000000325,389,2,0,5.0,Atención muy buena,18
327,13000000326,598,2,0,9.0,Podría mejorar el empaque,25
328,13000000327,2,2,0,7.0,Todo perfecto,13
329,13000000328,118,2,0,8.0,Volvería a comprar,18
330,13000000329,835,1,0,10.0,,3
331,13000000330,554,1,0,7.0,Todo perfecto,13
332,13000000331,371,1,0,10.0,,3
333,13000000332,965,1,0,9.0,Volvería a comprar,18
334,13000000333,687,2,0,6.0,Atención muy buena,18
335,13000000334,516,1,0,9.0,,3
336,13000000335,1295,2,0,8.0,Volvería a comprar,18
337,13000000336,660,1,0,4.0,Tardó un poco más de lo esperado,32
338,13000000337,838,2,0,8.0,,3
339,13000000338,447,2,0,8.0,Atención muy buena,18
340,13000000339,1187,2,0,4.0,Volvería a comprar,18
341,13000000340,1457,1,0,7.0,Entrega rápida y producto excelente,35
342,13000000341,16,1,0,7.0,Podría mejorar el empaque,25
343,13000000342,1421,1,0,0.0,Tardó un poco más de lo esperado,32
344,13000000343,861,1,0,9.0,Muy conforme con la calidad,27
345,13000000344,515,1,0,2.0,Todo perfecto,13
346,13000000345,280,1,0,10.0,Entrega rápida y producto excelente,35
347,13000000346,829,1,0,7.0,Podría mejorar el empaque,25
348,13000000347,1319,1,0,10.0,Entrega rápida y producto excelente,35
349,13000000348,682,1,0,10.0,Tardó un poco más de lo esperado,32
350,13000000349,649,1,0,7.0,Entrega rápida y producto excelente,35
351,13000000350,1041,1,0,8.0,Todo perfecto,13
352,13000000351,559,2,0,9.0,Tardó un poco más de lo esperado,32
353,13000000352,1187,2,0,9.0,Muy conforme con la calidad,27
354,13000000353,786,1,0,6.0,Todo perfecto,13
355,13000000354,1104,1,0,6.0,Todo perfecto,13
356,13000000355,505,2,0,4.0,Volvería a comprar,18
357,13000000356,436,1,0,0.0,Atención muy buena,18
358,13000000357,366,1,0,5.0,Atención muy buena,18
359,13000000358,829,2,0,8.0,Tardó un poco más de lo esperado,32
360,13000000359,570,1,0,5.0,Atención muy buena,18
361,13000000360,573,2,0,10.0,Entrega rápida y producto excelente,35
362,13000000361,63,1,0,8.0,Todo perfecto,13
363,13000000362,140,1,0,10.0,Muy conforme con la calidad,27
364,13000000363,650,2,0,9.0,Volvería a comprar,18
365,13000000364,558,1,0,7.0,Volvería a comprar,18
366,13000000365,498,2,0,9.0,,3
367,13000000366,1337,2,0,10.0,Podría mejorar el empaque,25
368,13000000367,192,1,0,9.0,Volvería a comprar,18
369,13000000368,523,1,0,1.0,Tardó un poco más de lo esperado,32
370,13000000369,1009,1,0,5.0,Entrega rápida y producto excelente,35
371,13000000370,1079,1,0,8.0,Atención muy buena,18
372,13000000371,809,1,0,9.0,Podría mejorar el empaque,25
373,13000000372,332,1,0,8.0,Atención muy buena,18
374,13000000373,397,1,0,8.0,Tardó un poco más de lo esperado,32
375,13000000374,950,2,0,8.0,Tardó un poco más de lo esperado,32
376,13000000375,950,1,0,10.0,Todo perfecto,13
377,13000000376,1071,1,0,7.0,Tardó un poco más de lo esperado,32
378,13000000377,27,1,0,5.0,Atención muy buena,18
379,13000000378,1063,1,0,5.0,Muy conforme con la calidad,27
380,13000000379,930,1,0,10.0,Atención muy buena,18
381,13000000380,1435,2,0,1.0,Podría mejorar el empaque,25
382,13000000381,258,2,0,10.0,Atención muy buena,18
383,13000000382,847,1,0,4.0,Volvería a comprar,18
384,13000000383,921,2,0,10.0,Muy conforme con la calidad,27
385,13000000384,1231,1,0,7.0,Tardó un poco más de lo esperado,32
386,13000000385,292,1,0,10.0,Podría mejorar el empaque,25
387,13000000386,325,2,0,3.0,Volvería a comprar,18
388,13000000387,921,2,0,3.0,Atención muy buena,18
389,13000000388,248,1,0,2.0,,3
390,13000000389,754,1,0,8.0,,3
391,13000000390,708,1,0,9.0,,3
392,13000000391,48,1,0,6.0,Podría mejorar el empaque,25
393,13000000392,786,2,0,5.0,Atención muy buena,18
394,13000000393,382,1,0,4.0,,3
395,13000000394,895,1,0,6.0,Tardó un poco más de lo esperado,32
396,13000000395,821,1,0,7.0,Entrega rápida y producto excelente,35
397,13000000396,1032,1,0,9.0,Todo perfecto,13
398,13000000397,1262,1,0,1.0,Todo perfecto,13
399,13000000398,153,1,0,9.0,Muy conforme con la calidad,27
400,13000000399,816,1,0,1.0,Todo perfecto,13
401,13000000400,237,1,0,7.0,Todo perfecto,13
402,13000000401,589,2,0,10.0,Podría mejorar el empaque,25
403,13000000402,249,2,0,6.0,Atención muy buena,18
404,13000000403,1130,2,0,2.0,Volvería a comprar,18
405,13000000404,455,1,0,3.0,Volvería a comprar,18
406,13000000405,1306,1,0,0.0,Podría mejorar el empaque,25
407,13000000406,1359,1,0,9.0,Atención muy buena,18
408,13000000407,696,1,0,7.0,Volvería a comprar,18
409,13000000408,867,1,0,7.0,Todo perfecto,13
410,13000000409,690,1,0,10.0,Podría mejorar el empaque,25
411,13000000410,14,1,0,7.0,Volvería a comprar,18
412,13000000411,259,2,0,2.0,,3
413,13000000412,334,1,0,3.0,Todo perfecto,13
414,13000000413,574,1,0,9.0,Todo perfecto,13
415,13000000414,716,1,0,10.0,Volvería a comprar,18
416,13000000415,204,2,0,8.0,Todo perfecto,13
417,13000000416,624,2,0,10.0,Volvería a comprar,18
418,13000000417,535,1,0,9.0,Volvería a comprar,18
419,13000000418,522,1,0,7.0,Entrega rápida y producto excelente,35
420,13000000419,589,1,0,9.0,Tardó un poco más de lo esperado,32
421,13000000420,1485,1,0,9.0,Muy conforme con la calidad,27
422,13000000421,544,1,0,9.0,Volvería a comprar,18
423,13000000422,253,1,0,9.0,Atención muy buena,18
424,13000000423,520,1,0,8.0,Podría mejorar el empaque,25
425,13000000424,1339,1,0,8.0,Volvería a comprar,18
426,13000000425,800,1,0,10.0,Tardó un poco más de lo esperado,32
427,13000000426,782,2,0,9.0,Entrega rápida y producto excelente,35
428,13000000427,488,2,0,3.0,Tardó un poco más de lo esperado,32
429,13000000428,1074,1,0,6.0,Todo perfecto,13
430,13000000429,789,2,0,9.0,Muy conforme con la calidad,27
431,13000000430,951,1,0,3.0,Tardó un poco más de lo esperado,32
432,13000000431,1210,1,0,8.0,,3
433,13000000432,977,2,0,3.0,Volvería a comprar,18
434,13000000433,489,2,0,8.0,Tardó un poco más de lo esperado,32
435,13000000434,1192,2,0,9.0,Entrega rápida y producto excelente,35
436,13000000435,1461,2,0,5.0,Volvería a comprar,18
437,13000000436,28,1,0,6.0,Volvería a comprar,18
438,13000000437,459,2,0,9.0,,3
439,13000000438,756,1,0,2.0,Entrega rápida y producto excelente,35
440,13000000439,1495,1,0,8.0,Podría mejorar el empaque,25
441,13000000440,584,1,0,7.0,Todo perfecto,13
442,13000000441,703,1,0,2.0,Atención muy buena,18
443,13000000442,1309,2,0,7.0,Atención muy buena,18
444,13000000443,323,2,0,7.0,Muy conforme con la calidad,27
445,13000000444,90,1,0,8.0,Muy conforme con la calidad,27
446,13000000445,761,1,0,5.0,Tardó un poco más de lo esperado,32
447,13000000446,999,1,0,9.0,,3
448,13000000447,85,1,0,9.0,Entrega rápida y producto excelente,35
449,13000000448,405,1,0,8.0,Podría mejorar el empaque,25
450,13000000449,336,2,0,2.0,Muy conforme con la calidad,27
451,13000000450,179,1,0,9.0,Entrega rápida y producto excelente,35
452,13000000451,682,2,0,8.0,Entrega rápida y producto excelente,35
453,13000000452,862,2,0,8.0,Tardó un poco más de lo esperado,32
454,13000000453,1218,1,0,5.0,Todo perfecto,13
455,13000000454,31,1,0,7.0,Todo perfecto,13
456,13000000455,154,1,0,10.0,,3
457,13000000456,1049,2,0,10.0,Podría mejorar el empaque,25
458,13000000457,586,1,0,10.0,Atención muy buena,18
459,13000000458,425,2,0,10.0,Volvería a comprar,18
460,13000000459,1235,1,0,8.0,Podría mejorar el empaque,25
461,13000000460,52,1,0,10.0,Tardó un poco más de lo esperado,32
462,13000000461,78,2,0,3.0,Entrega rápida y producto excelente,35
463,13000000462,405,1,0,7.0,Entrega rápida y producto excelente,35
464,13000000463,381,2,0,7.0,Podría mejorar el empaque,25
465,13000000464,284,1,0,10.0,Podría mejorar el empaque,25
466,13000000465,867,1,0,0.0,Tardó un poco más de lo esperado,32
467,13000000466,626,1,0,8.0,,3
468,13000000467,195,1,0,9.0,Entrega rápida y producto excelente,35
469,13000000468,467,1,0,7.0,Tardó un poco más de lo esperado,32
470,13000000469,1107,2,0,7.0,Tardó un poco más de lo esperado,32
471,13000000470,580,1,0,8.0,Muy conforme con la calidad,27
472,13000000471,942,2,0,7.0,Todo perfecto,13
473,13000000472,1354,2,0,10.0,Podría mejorar el empaque,25
