order_item_sk,order_item_id,order_id,order_date,customer_id,product_id,channel_id,store_id,billing_address_id,shipping_address_id,status,currency_code,quantity,unit_price,discount_amount,gross_amount,net_amount,subtotal,tax_amount,shipping_fee,total_amount
24,5000000023,1000000013,2025-03-23 11:26:14,862,1,2,1.0,1342.0,1,PAID,ARS,3,12000.0,1800.0,36000.0,34200.0,101887.5,21396.38,0.0,123283.88
25,5000000024,1000000013,2025-03-23 11:26:14,862,1,2,1.0,1342.0,1,PAID,ARS,2,12000.0,1200.0,24000.0,22800.0,101887.5,21396.38,0.0,123283.88
26,5000000025,1000000014,2025-08-18 12:46:12,181,1,1,,2238.0,3917,PAID,ARS,1,12000.0,240.0,12000.0,11760.0,11760.0,2469.6,900.0,15129.6
27,5000000026,1000000015,2024-09-15 12:43:40,700,1,1,,3268.0,1803,CANCELLED,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,1200.0,29659.2
28,5000000027,1000000016,2025-08-27 22:46:32,475,1,1,,1585.0,3558,FULFILLED,ARS,2,12600.0,2520.0,25200.0,22680.0,22680.0,4762.8,1200.0,28642.8
29,5000000028,1000000017,2025-02-19 14:36:04,753,2,2,2.0,3052.0,2,FULFILLED,ARS,2,15750.0,630.0,31500.0,30870.0,66870.0,14042.7,0.0,80912.7
30,5000000029,1000000017,2025-02-19 14:36:04,753,1,2,2.0,3052.0,2,FULFILLED,ARS,3,12000.0,0.0,36000.0,36000.0,66870.0,14042.7,0.0,80912.7
31,5000000030,1000000018,2024-07-14 15:20:18,1151,2,1,,2712.0,2691,CANCELLED,ARS,1,13500.0,270.0,13500.0,13230.0,81990.0,17217.9,900.0,100107.9
32,5000000031,1000000018,2024-07-14 15:20:18,1151,1,1,,2712.0,2691,CANCELLED,ARS,2,13200.0,2640.0,26400.0,23760.0,81990.0,17217.9,900.0,100107.9
33,5000000032,1000000018,2024-07-14 15:20:18,1151,2,1,,2712.0,2691,CANCELLED,ARS,3,15000.0,0.0,45000.0,45000.0,81990.0,17217.9,900.0,100107.9
34,5000000033,1000000019,2025-04-21 04:12:18,793,1,1,,2523.0,3612,FULFILLED,ARS,3,12600.0,756.0,37800.0,37044.0,37044.0,7779.24,1200.0,46023.24
35,5000000034,1000000020,2024-05-06 01:36:24,866,2,1,,3933.0,3374,FULFILLED,ARS,3,16500.0,0.0,49500.0,49500.0,49500.0,10395.0,0.0,59895.0
36,5000000035,1000000021,2025-09-23 22:05:51,1110,1,1,,3246.0,2545,FULFILLED,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,1200.0,29659.2
37,5000000036,1000000022,2024-03-31 02:16:34,854,1,2,1.0,2462.0,1,REFUNDED,ARS,2,12000.0,0.0,24000.0,24000.0,24000.0,5040.0,0.0,29040.0
38,5000000037,1000000023,2025-07-05 19:42:57,379,2,2,3.0,3098.0,3,FULFILLED,ARS,2,15000.0,600.0,30000.0,29400.0,68400.0,14364.0,0.0,82764.0
39,5000000038,1000000023,2025-07-05 19:42:57,379,1,2,3.0,3098.0,3,FULFILLED,ARS,1,12000.0,0.0,12000.0,12000.0,68400.0,14364.0,0.0,82764.0
40,5000000039,1000000023,2025-07-05 19:42:57,379,2,2,3.0,3098.0,3,FULFILLED,ARS,2,15000.0,3000.0,30000.0,27000.0,68400.0,14364.0,0.0,82764.0
41,5000000040,1000000024,2025-03-02 15:57:05,441,1,2,2.0,1528.0,2,FULFILLED,ARS,1,12000.0,240.0,12000.0,11760.0,11760.0,2469.6,0.0,14229.6
42,5000000041,1000000025,2025-08-26 06:57:45,125,2,1,,2981.0,1512,FULFILLED,ARS,3,15750.0,2362.5,47250.0,44887.5,70087.5,14718.38,1200.0,86005.88
43,5000000042,1000000025,2025-08-26 06:57:45,125,1,1,,2981.0,1512,FULFILLED,ARS,2,12600.0,0.0,25200.0,25200.0,70087.5,14718.38,1200.0,86005.88
44,5000000043,1000000026,2024-12-12 23:59:48,1201,2,1,,4164.0,1297,FULFILLED,ARS,1,15000.0,1500.0,15000.0,13500.0,13500.0,2835.0,1200.0,17535.0
45,5000000044,1000000027,2024-12-02 01:44:59,1055,1,1,,3321.0,2858,FULFILLED,ARS,2,12000.0,1200.0,24000.0,22800.0,22800.0,4788.0,900.0,28488.0
46,5000000045,1000000028,2024-05-17 06:11:07,382,1,1,,1338.0,2419,FULFILLED,ARS,1,12000.0,0.0,12000.0,12000.0,12000.0,2520.0,0.0,14520.0
47,5000000046,1000000029,2025-09-14 02:43:49,1456,2,1,,1410.0,2421,FULFILLED,ARS,2,16500.0,660.0,33000.0,32340.0,64740.0,13595.4,900.0,79235.4
48,5000000047,1000000029,2025-09-14 02:43:49,1456,1,1,,1410.0,2421,FULFILLED,ARS,3,12000.0,3600.0,36000.0,32400.0,64740.0,13595.4,900.0,79235.4
49,5000000048,1000000030,2025-06-09 19:02:55,1377,1,2,4.0,3581.0,4,PAID,ARS,3,12000.0,1800.0,36000.0,34200.0,34200.0,7182.0,0.0,41382.0
50,5000000049,1000000031,2025-05-10 11:15:07,1375,1,2,4.0,1924.0,4,PAID,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,0.0,28459.2
51,5000000050,1000000032,2025-03-15 14:37:22,821,2,1,,3181.0,1920,FULFILLED,ARS,2,15000.0,3000.0,30000.0,27000.0,27000.0,5670.0,1200.0,33870.0
52,5000000051,1000000033,2024-06-08 03:23:04,1475,2,2,4.0,3312.0,4,FULFILLED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,0.0,17787.0
53,5000000052,1000000034,2024-11-17 01:24:31,634,2,2,2.0,2156.0,2,FULFILLED,ARS,3,15750.0,2362.5,47250.0,44887.5,85387.5,17931.38,0.0,103318.88
54,5000000053,1000000034,2024-11-17 01:24:31,634,2,2,2.0,2156.0,2,FULFILLED,ARS,3,15000.0,4500.0,45000.0,40500.0,85387.5,17931.38,0.0,103318.88
55,5000000054,1000000035,2024-01-12 05:54:27,585,1,2,1.0,3436.0,1,FULFILLED,ARS,2,12000.0,2400.0,24000.0,21600.0,21600.0,4536.0,0.0,26136.0
56,5000000055,1000000036,2024-09-24 18:59:17,180,1,1,,4138.0,2859,FULFILLED,ARS,2,12000.0,1200.0,24000.0,22800.0,49800.0,10458.0,900.0,61158.0
57,5000000056,1000000036,2024-09-24 18:59:17,180,2,1,,4138.0,2859,FULFILLED,ARS,2,15000.0,3000.0,30000.0,27000.0,49800.0,10458.0,900.0,61158.0
58,5000000057,1000000037,2024-01-26 00:07:55,482,1,1,,2544.0,3321,FULFILLED,ARS,2,12600.0,504.0,25200.0,24696.0,24696.0,5186.16,1200.0,31082.16
59,5000000058,1000000038,2024-02-02 22:29:21,620,1,2,1.0,1303.0,1,FULFILLED,ARS,1,12000.0,240.0,12000.0,11760.0,11760.0,2469.6,0.0,14229.6
60,5000000059,1000000039,2024-05-23 04:42:33,603,1,2,1.0,4130.0,1,FULFILLED,ARS,3,10800.0,3240.0,32400.0,29160.0,59160.0,12423.6,0.0,71583.6
61,5000000060,1000000039,2024-05-23 04:42:33,603,2,2,1.0,4130.0,1,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,59160.0,12423.6,0.0,71583.6
62,5000000061,1000000040,2024-03-04 06:58:13,1028,1,1,,3284.0,2145,CANCELLED,ARS,1,12000.0,600.0,12000.0,11400.0,11400.0,2394.0,1200.0,14994.0
63,5000000062,1000000041,2024-01-14 09:59:03,1005,2,2,3.0,,3,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,24510.0,5147.1,0.0,29657.1
64,5000000063,1000000041,2024-01-14 09:59:03,1005,1,2,3.0,,3,FULFILLED,ARS,1,10800.0,540.0,10800.0,10260.0,24510.0,5147.1,0.0,29657.1
65,5000000064,1000000042,2024-09-27 21:17:36,790,1,1,,1738.0,1029,FULFILLED,ARS,1,10800.0,540.0,10800.0,10260.0,10260.0,2154.6,1500.0,13914.6
66,5000000065,1000000043,2024-05-21 10:46:11,665,1,1,,3226.0,3039,PAID,ARS,3,13200.0,0.0,39600.0,39600.0,39600.0,8316.0,900.0,48816.0
67,5000000066,1000000044,2025-09-02 12:32:15,562,2,1,,,2131,FULFILLED,ARS,2,15000.0,600.0,30000.0,29400.0,73500.0,15435.0,1500.0,90435.0
68,5000000067,1000000044,2025-09-02 12:32:15,562,2,1,,,2131,FULFILLED,ARS,3,15000.0,900.0,45000.0,44100.0,73500.0,15435.0,1500.0,90435.0
69,5000000068,1000000045,2024-02-01 13:14:28,998,1,1,,3026.0,2980,FULFILLED,ARS,3,12000.0,0.0,36000.0,36000.0,36000.0,7560.0,900.0,44460.0
70,5000000069,1000000046,2024-01-12 03:01:18,276,2,1,,,1489,FULFILLED,ARS,2,16500.0,0.0,33000.0,33000.0,33000.0,6930.0,0.0,39930.0
71,5000000070,1000000047,2024-03-08 08:53:37,1469,1,2,2.0,,2,FULFILLED,ARS,1,12000.0,1200.0,12000.0,10800.0,10800.0,2268.0,0.0,13068.0
72,5000000071,1000000048,2024-09-13 16:10:57,408,1,2,2.0,3365.0,2,CREATED,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,0.0,28459.2
73,5000000072,1000000049,2024-08-11 19:35:54,1360,2,2,2.0,1174.0,2,FULFILLED,ARS,3,13500.0,0.0,40500.0,40500.0,40500.0,8505.0,0.0,49005.0
74,5000000073,1000000050,2024-07-25 00:25:00,1423,2,1,,2103.0,1661,FULFILLED,ARS,2,15000.0,1500.0,30000.0,28500.0,28500.0,5985.0,1200.0,35685.0
75,5000000074,1000000051,2024-09-15 06:10:33,741,2,1,,2340.0,2863,FULFILLED,ARS,2,15750.0,630.0,31500.0,30870.0,30870.0,6482.7,900.0,38252.7
76,5000000075,1000000052,2024-11-04 03:12:44,969,1,1,,,2608,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,70560.0,14817.6,0.0,85377.6
77,5000000076,1000000052,2024-11-04 03:12:44,969,1,1,,,2608,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,70560.0,14817.6,0.0,85377.6
78,5000000077,1000000053,2024-08-10 06:19:56,729,2,1,,3595.0,1454,CANCELLED,ARS,2,15000.0,3000.0,30000.0,27000.0,27000.0,5670.0,900.0,33570.0
79,5000000078,1000000054,2024-03-16 02:19:59,251,1,2,4.0,3465.0,4,PAID,ARS,1,12600.0,252.0,12600.0,12348.0,12348.0,2593.08,0.0,14941.08
80,5000000079,1000000055,2025-07-23 20:26:45,1087,2,2,1.0,3305.0,1,PAID,ARS,3,15000.0,2250.0,45000.0,42750.0,42750.0,8977.5,0.0,51727.5
81,5000000080,1000000056,2025-04-12 15:37:15,659,1,1,,3446.0,2887,FULFILLED,ARS,2,12000.0,0.0,24000.0,24000.0,71025.0,14915.25,1200.0,87140.25
82,5000000081,1000000056,2025-04-12 15:37:15,659,2,1,,3446.0,2887,FULFILLED,ARS,3,16500.0,2475.0,49500.0,47025.0,71025.0,14915.25,1200.0,87140.25
83,5000000082,1000000057,2025-02-21 05:51:12,338,2,2,4.0,1626.0,4,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,28425.0,5969.25,0.0,34394.25
84,5000000083,1000000057,2025-02-21 05:51:12,338,2,2,4.0,1626.0,4,FULFILLED,ARS,1,15750.0,1575.0,15750.0,14175.0,28425.0,5969.25,0.0,34394.25
85,5000000084,1000000058,2024-09-21 03:01:24,1068,2,1,,3.0,3071,CANCELLED,ARS,1,16500.0,1650.0,16500.0,14850.0,43350.0,9103.5,1500.0,53953.5
86,5000000085,1000000058,2024-09-21 03:01:24,1068,2,1,,3.0,3071,CANCELLED,ARS,2,15000.0,1500.0,30000.0,28500.0,43350.0,9103.5,1500.0,53953.5
87,5000000086,1000000059,2024-07-01 13:26:37,958,1,1,,2973.0,3535,FULFILLED,ARS,3,12000.0,1800.0,36000.0,34200.0,64200.0,13482.0,0.0,77682.0
88,5000000087,1000000059,2024-07-01 13:26:37,958,2,1,,2973.0,3535,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,64200.0,13482.0,0.0,77682.0
89,5000000088,1000000060,2024-02-25 20:21:42,428,1,2,4.0,1333.0,4,CANCELLED,ARS,3,10800.0,3240.0,32400.0,29160.0,29160.0,6123.6,0.0,35283.6
90,5000000089,1000000061,2025-03-01 10:20:56,1337,1,1,,1294.0,1084,FULFILLED,ARS,1,12000.0,0.0,12000.0,12000.0,12000.0,2520.0,1200.0,15720.0
91,5000000090,1000000062,2024-12-23 12:02:28,1442,2,2,3.0,1692.0,3,FULFILLED,ARS,3,15000.0,0.0,45000.0,45000.0,45000.0,9450.0,0.0,54450.0
92,5000000091,1000000063,2024-05-30 10:17:58,939,1,1,,4168.0,1406,FULFILLED,ARS,3,12600.0,756.0,37800.0,37044.0,37044.0,7779.24,1500.0,46323.24
93,5000000092,1000000064,2025-03-04 14:45:27,1409,2,1,,4171.0,1307,FULFILLED,ARS,1,16500.0,1650.0,16500.0,14850.0,14850.0,3118.5,1200.0,19168.5
94,5000000093,1000000065,2024-09-17 00:43:41,1062,1,1,,3633.0,2399,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,1200.0,43888.8
95,5000000094,1000000066,2024-01-26 06:33:17,988,1,1,,2187.0,1134,CANCELLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,1200.0,43888.8
96,5000000095,1000000067,2025-04-11 16:23:15,778,2,1,,2598.0,2248,REFUNDED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,900.0,18687.0
97,5000000096,1000000068,2024-12-01 10:53:38,77,2,1,,2743.0,1620,PAID,ARS,1,15750.0,315.0,15750.0,15435.0,84435.0,17731.35,0.0,102166.35
98,5000000097,1000000068,2024-12-01 10:53:38,77,1,1,,2743.0,1620,PAID,ARS,2,12000.0,0.0,24000.0,24000.0,84435.0,17731.35,0.0,102166.35
99,5000000098,1000000068,2024-12-01 10:53:38,77,2,1,,2743.0,1620,PAID,ARS,3,15000.0,0.0,45000.0,45000.0,84435.0,17731.35,0.0,102166.35
100,5000000099,1000000069,2024-06-12 09:38:45,700,2,1,,2468.0,1476,FULFILLED,ARS,3,15000.0,900.0,45000.0,44100.0,44100.0,9261.0,0.0,53361.0
101,5000000100,1000000070,2025-07-25 23:51:05,425,1,1,,3743.0,1428,PAID,ARS,1,12000.0,0.0,12000.0,12000.0,12000.0,2520.0,900.0,15420.0
102,5000000101,1000000071,2024-07-22 18:00:06,1271,1,2,3.0,2518.0,3,FULFILLED,ARS,1,12000.0,240.0,12000.0,11760.0,11760.0,2469.6,0.0,14229.6
103,5000000102,1000000072,2024-02-02 08:20:17,1129,2,1,,3121.0,3536,PAID,ARS,1,13500.0,675.0,13500.0,12825.0,12825.0,2693.25,1500.0,17018.25
104,5000000103,1000000073,2024-12-07 21:18:19,1224,2,1,,1481.0,2119,PAID,ARS,1,15750.0,315.0,15750.0,15435.0,15435.0,3241.35,900.0,19576.35
105,5000000104,1000000074,2024-12-14 04:41:02,446,1,1,,4068.0,3064,FULFILLED,ARS,2,12600.0,1260.0,25200.0,23940.0,56340.0,11831.4,900.0,69071.4
106,5000000105,1000000074,2024-12-14 04:41:02,446,1,1,,4068.0,3064,FULFILLED,ARS,3,12000.0,3600.0,36000.0,32400.0,56340.0,11831.4,900.0,69071.4
107,5000000106,1000000075,2025-03-22 18:16:20,867,2,1,,2940.0,3681,FULFILLED,ARS,2,15000.0,600.0,30000.0,29400.0,29400.0,6174.0,900.0,36474.0
108,5000000107,1000000076,2024-03-01 10:21:11,127,1,1,,1419.0,4185,FULFILLED,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,1200.0,29659.2
109,5000000108,1000000077,2024-12-04 22:39:17,874,1,2,1.0,1204.0,1,PAID,ARS,2,12000.0,480.0,24000.0,23520.0,23520.0,4939.2,0.0,28459.2
110,5000000109,1000000078,2025-01-09 21:43:22,814,2,1,,1370.0,3363,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,40650.0,8536.5,0.0,49186.5
111,5000000110,1000000078,2025-01-09 21:43:22,814,1,1,,1370.0,3363,FULFILLED,ARS,2,13200.0,0.0,26400.0,26400.0,40650.0,8536.5,0.0,49186.5
112,5000000111,1000000079,2025-09-16 02:56:19,1189,1,1,,3302.0,1836,PAID,ARS,1,10800.0,0.0,10800.0,10800.0,32400.0,6804.0,1200.0,40404.0
113,5000000112,1000000079,2025-09-16 02:56:19,1189,1,1,,3302.0,1836,PAID,ARS,2,12000.0,2400.0,24000.0,21600.0,32400.0,6804.0,1200.0,40404.0
114,5000000113,1000000080,2024-11-11 06:28:22,584,2,1,,3166.0,1065,FULFILLED,ARS,1,15000.0,300.0,15000.0,14700.0,14700.0,3087.0,900.0,18687.0
115,5000000114,1000000081,2025-02-02 01:45:35,1433,1,1,,3156.0,1949,FULFILLED,ARS,2,12000.0,1200.0,24000.0,22800.0,52800.0,11088.0,900.0,64788.0
116,5000000115,1000000081,2025-02-02 01:45:35,1433,2,1,,3156.0,1949,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,52800.0,11088.0,900.0,64788.0
117,5000000116,1000000082,2025-09-21 10:27:35,670,1,1,,3087.0,4099,FULFILLED,ARS,3,12000.0,1800.0,36000.0,34200.0,34200.0,7182.0,1200.0,42582.0
118,5000000117,1000000083,2024-02-10 17:47:09,464,2,1,,3865.0,1838,REFUNDED,ARS,1,16500.0,0.0,16500.0,16500.0,38100.0,8001.0,1200.0,47301.0
119,5000000118,1000000083,2024-02-10 17:47:09,464,1,1,,3865.0,1838,REFUNDED,ARS,2,12000.0,2400.0,24000.0,21600.0,38100.0,8001.0,1200.0,47301.0
120,5000000119,1000000084,2024-11-25 14:26:24,535,2,1,,,1149,PAID,ARS,1,15000.0,0.0,15000.0,15000.0,15000.0,3150.0,900.0,19050.0
121,5000000120,1000000085,2025-03-01 02:58:24,655,1,1,,3535.0,3181,FULFILLED,ARS,1,12600.0,252.0,12600.0,12348.0,12348.0,2593.08,1500.0,16441.08
122,5000000121,1000000086,2025-08-18 10:52:28,833,1,1,,1851.0,3247,FULFILLED,ARS,1,12000.0,1200.0,12000.0,10800.0,10800.0,2268.0,1200.0,14268.0
123,5000000122,1000000087,2024-12-13 04:53:42,490,1,1,,2315.0,2445,CANCELLED,ARS,1,12000.0,600.0,12000.0,11400.0,11400.0,2394.0,1200.0,14994.0
124,5000000123,1000000088,2024-02-03 13:58:21,360,2,1,,1100.0,2456,FULFILLED,ARS,2,15000.0,600.0,30000.0,29400.0,56400.0,11844.0,900.0,69144.0
125,5000000124,1000000088,2024-02-03 13:58:21,360,2,1,,1100.0,2456,FULFILLED,ARS,2,15000.0,3000.0,30000.0,27000.0,56400.0,11844.0,900.0,69144.0
126,5000000125,1000000089,2025-06-18 12:09:30,1227,2,1,,3142.0,2172,FULFILLED,ARS,1,15000.0,750.0,15000.0,14250.0,14250.0,2992.5,1200.0,18442.5
127,5000000126,1000000090,2024-01-27 19:31:23,624,1,1,,3886.0,1034,FULFILLED,ARS,2,12000.0,0.0,24000.0,24000.0,36825.0,7733.25,900.0,45458.25
128,5000000127,1000000090,2024-01-27 19:31:23,624,2,1,,3886.0,1034,FULFILLED,ARS,1,13500.0,675.0,13500.0,12825.0,36825.0,7733.25,900.0,45458.25
129,5000000128,1000000091,2024-02-17 18:12:47,228,2,1,,2739.0,3298,FULFILLED,ARS,3,15750.0,2362.5,47250.0,44887.5,91192.5,19150.42,0.0,110342.92
130,5000000129,1000000091,2024-02-17 18:12:47,228,2,1,,2739.0,3298,FULFILLED,ARS,3,15750.0,945.0,47250.0,46305.0,91192.5,19150.42,0.0,110342.92
131,5000000130,1000000092,2024-06-13 13:46:23,770,2,1,,1526.0,1772,FULFILLED,ARS,2,15000.0,0.0,30000.0,30000.0,30000.0,6300.0,900.0,37200.0
132,5000000131,1000000093,2024-11-14 23:26:31,54,2,2,2.0,3325.0,2,FULFILLED,ARS,3,15000.0,0.0,45000.0,45000.0,84675.0,17781.75,0.0,102456.75
133,5000000132,1000000093,2024-11-14 23:26:31,54,1,2,2.0,3325.0,2,FULFILLED,ARS,2,12000.0,0.0,24000.0,24000.0,84675.0,17781.75,0.0,102456.75
134,5000000133,1000000093,2024-11-14 23:26:31,54,2,2,2.0,3325.0,2,FULFILLED,ARS,1,16500.0,825.0,16500.0,15675.0,84675.0,17781.75,0.0,102456.75
135,5000000134,1000000094,2024-12-27 03:05:36,1006,1,2,4.0,3233.0,4,PAID,ARS,3,12000.0,1800.0,36000.0,34200.0,74700.0,15687.0,0.0,90387.0
136,5000000135,1000000094,2024-12-27 03:05:36,1006,2,2,4.0,3233.0,4,PAID,ARS,3,13500.0,0.0,40500.0,40500.0,74700.0,15687.0,0.0,90387.0
137,5000000136,1000000095,2025-09-25 18:29:43,247,2,1,,2232.0,2291,FULFILLED,ARS,3,16500.0,990.0,49500.0,48510.0,48510.0,10187.1,1200.0,59897.1
138,5000000137,1000000096,2025-05-23 10:43:41,1127,1,2,3.0,2315.0,3,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,0.0,42688.8
139,5000000138,1000000097,2024-06-12 17:56:54,757,2,2,2.0,3449.0,2,FULFILLED,ARS,1,15750.0,315.0,15750.0,15435.0,15435.0,3241.35,0.0,18676.35
140,5000000139,1000000098,2025-01-16 08:09:07,520,1,1,,4131.0,3443,FULFILLED,ARS,3,12600.0,1890.0,37800.0,35910.0,35910.0,7541.1,900.0,44351.1
141,5000000140,1000000099,2024-02-27 14:31:08,258,1,1,,2511.0,1224,FULFILLED,ARS,1,12000.0,0.0,12000.0,12000.0,12000.0,2520.0,0.0,14520.0
142,5000000141,1000000100,2024-07-30 11:35:40,467,1,1,,2632.0,2885,CANCELLED,ARS,1,10800.0,0.0,10800.0,10800.0,23148.0,4861.08,900.0,28909.08
143,5000000142,1000000100,2024-07-30 11:35:40,467,1,1,,2632.0,2885,CANCELLED,ARS,1,12600.0,252.0,12600.0,12348.0,23148.0,4861.08,900.0,28909.08
144,5000000143,1000000101,2024-03-30 02:45:40,3,1,1,,3636.0,1219,PAID,ARS,3,12000.0,0.0,36000.0,36000.0,36000.0,7560.0,900.0,44460.0
145,5000000144,1000000102,2024-11-19 07:00:43,334,1,1,,3616.0,3863,FULFILLED,ARS,3,12000.0,720.0,36000.0,35280.0,35280.0,7408.8,1200.0,43888.8
146,5000000145,1000000103,2024-03-25 03:53:52,802,1,2,3.0,1549.0,3,CREATED,ARS,3,10800.0,1620.0,32400.0,30780.0,30780.0,6463.8,0.0,37243.8
147,5000000146,1000000104,2024-03-23 20:55:17,999,2,1,,1251.0,4048,REFUNDED,ARS,2,15000.0,0.0,30000.0,30000.0,30000.0,6300.0,1200.0,37500.0
148,5000000147,1000000105,2024-05-12 04:27:32,176,1,1,,1458.0,3440,FULFILLED,ARS,2,12000.0,2400.0,24000.0,21600.0,21600.0,4536.0,1200.0,27336.0
149,5000000148,1000000106,2025-02-08 08:09:53,801,2,1,,1603.0,3956,FULFILLED,ARS,1,15000.0,0.0,15000.0,15000.0,15000.0,3150.0,900.0,19050.0
150,5000000149,1000000107,2024-05-22 03:56:26,1113,1,1,,1747.0,2943,FULFILLED,ARS,3,12600.0,3780.0,37800.0,34020.0,34020.0,7144.2,900.0,42064.2
