shipment_sk,shipment_id,order_id,customer_sk,channel_sk,store_sk,shipped_date_sk,delivered_date_sk,carrier,tracking_number,status,shipped_at,delivered_at,delivery_time_days
37,9000000036,1000000036,180,1,0,0,0,Correo Argentino,TRK-JI1IJOL9GD,DELIVERED,2024-09-25 18:59:17,2024-09-28 18:59:17,3.0
38,9000000037,1000000037,482,1,0,0,0,Correo Argentino,TRK-B103OLM2ZZ,DELIVERED,2024-01-27 00:07:55,2024-01-31 00:07:55,4.0
39,9000000038,1000000038,620,2,1,0,0,PICKUP,,DELIVERED,2024-02-02 22:29:21,2024-02-03 22:29:21,1.0
40,9000000039,1000000039,603,2,1,0,0,PICKUP,,DELIVERED,2024-05-23 04:42:33,2024-05-24 04:42:33,1.0
41,9000000040,1000000040,1028,1,0,0,0,Correo Argentino,,CANCELLED,,,
42,9000000041,1000000041,1005,2,3,0,0,PICKUP,,DELIVERED,2024-01-14 09:59:03,2024-01-15 09:59:03,1.0
43,9000000042,1000000042,790,1,0,0,0,Correo Argentino,TRK-T6YEYXIY47,DELIVERED,2024-09-28 21:17:36,2024-09-30 21:17:36,2.0
44,9000000043,1000000043,665,1,0,0,0,Correo Argentino,TRK-4BKBFC142A,SHIPPED,2024-05-22 10:46:11,2024-05-27 10:46:11,5.0
45,9000000044,1000000044,562,1,0,0,0,Correo Argentino,TRK-OE8JOVHWT3,DELIVERED,2025-09-03 12:32:15,2025-09-05 12:32:15,2.0
46,9000000045,1000000045,998,1,0,0,0,Correo Argentino,TRK-78RSWE9YNS,DELIVERED,2024-02-02 13:14:28,2024-02-07 13:14:28,5.0
47,9000000046,1000000046,276,1,0,0,0,Correo Argentino,TRK-ENFRRYBCN7,DELIVERED,2024-01-13 03:01:18,2024-01-17 03:01:18,4.0
48,9000000047,1000000047,1469,2,2,0,0,PICKUP,,DELIVERED,2024-03-08 08:53:37,2024-03-09 08:53:37,1.0
49,9000000048,1000000048,408,2,2,0,0,PICKUP,,READY,2024-09-13 16:10:57,2024-09-14 16:10:57,1.0
50,9000000049,1000000049,1360,2,2,0,0,PICKUP,,DELIVERED,2024-08-11 19:35:54,2024-08-12 19:35:54,1.0
51,9000000050,1000000050,1423,1,0,0,0,Correo Argentino,TRK-2UFL9MQ11P,DELIVERED,2024-07-26 00:25:00,2024-07-30 00:25:00,4.0
52,9000000051,1000000051,741,1,0,0,0,Correo Argentino,TRK-TL9JNTSSQA,DELIVERED,2024-09-16 06:10:33,2024-09-19 06:10:33,3.0
53,9000000052,1000000052,969,1,0,0,0,Correo Argentino,TRK-RK6C2JA3AN,DELIVERED,2024-11-05 03:12:44,2024-11-07 03:12:44,2.0
54,9000000053,1000000053,729,1,0,0,0,Correo Argentino,,CANCELLED,,,
55,9000000054,1000000054,251,2,4,0,0,PICKUP,,SHIPPED,2024-03-16 02:19:59,2024-03-17 02:19:59,1.0
56,9000000055,1000000055,1087,2,1,0,0,PICKUP,,SHIPPED,2025-07-23 20:26:45,2025-07-24 20:26:45,1.0
57,9000000056,1000000056,659,1,0,0,0,Correo Argentino,TRK-F94E82XEU7,DELIVERED,2025-04-13 15:37:15,2025-04-16 15:37:15,3.0
58,9000000057,1000000057,338,2,4,0,0,PICKUP,,DELIVERED,2025-02-21 05:51:12,2025-02-22 05:51:12,1.0
59,9000000058,1000000058,1068,1,0,0,0,Correo Argentino,,CANCELLED,,,
60,9000000059,1000000059,958,1,0,0,0,Correo Argentino,TRK-GYMRRQSRNH,DELIVERED,2024-07-02 13:26:37,2024-07-07 13:26:37,5.0
61,9000000060,1000000060,428,2,4,0,0,PICKUP,,CANCELLED,,,
62,9000000061,1000000061,1337,1,0,0,0,Correo Argentino,TRK-1JVAA08D71,DELIVERED,2025-03-02 10:20:56,2025-03-05 10:20:56,3.0
63,9000000062,1000000062,1442,2,3,0,0,PICKUP,,DELIVERED,2024-12-23 12:02:28,2024-12-24 12:02:28,1.0
64,9000000063,1000000063,939,1,0,0,0,Correo Argentino,TRK-4QRWG4O3VS,DELIVERED,2024-05-31 10:17:58,2024-06-02 10:17:58,2.0
65,9000000064,1000000064,1409,1,0,0,0,Correo Argentino,TRK-GHR4X51MO5,DELIVERED,2025-03-05 14:45:27,2025-03-07 14:45:27,2.0
66,9000000065,1000000065,1062,1,0,0,0,Correo Argentino,TRK-Y0WLIWLAP3,DELIVERED,2024-09-18 00:43:41,2024-09-22 00:43:41,4.0
67,9000000066,1000000066,988,1,0,0,0,Correo Argentino,,CANCELLED,,,
68,9000000067,1000000067,778,1,0,0,0,Correo Argentino,TRK-WPHKOKPY98,DELIVERED,2025-04-12 16:23:15,2025-04-17 16:23:15,5.0
69,9000000068,1000000068,77,1,0,0,0,Correo Argentino,TRK-95ADJ6QXJ8,SHIPPED,2024-12-02 10:53:38,2024-12-05 10:53:38,3.0
70,9000000069,1000000069,700,1,0,0,0,Correo Argentino,TRK-75UERJVV88,DELIVERED,2024-06-13 09:38:45,2024-06-18 09:38:45,5.0
71,9000000070,1000000070,425,1,0,0,0,Correo Argentino,TRK-SHAJ4MH7LK,SHIPPED,2025-07-26 23:51:05,2025-07-30 23:51:05,4.0
72,9000000071,1000000071,1271,2,3,0,0,PICKUP,,DELIVERED,2024-07-22 18:00:06,2024-07-23 18:00:06,1.0
73,9000000072,1000000072,1129,1,0,0,0,Correo Argentino,TRK-NH83FI4OJA,SHIPPED,2024-02-03 08:20:17,2024-02-08 08:20:17,5.0
74,9000000073,1000000073,1224,1,0,0,0,Correo Argentino,TRK-3BTEYU6C8K,SHIPPED,2024-12-08 21:18:19,2024-12-11 21:18:19,3.0
75,9000000074,1000000074,446,1,0,0,0,Correo Argentino,TRK-NQPTS0MMBB,DELIVERED,2024-12-15 04:41:02,2024-12-21 04:41:02,6.0
76,9000000075,1000000075,867,1,0,0,0,Correo Argentino,TRK-A7O7MMZ1H4,DELIVERED,2025-03-23 18:16:20,2025-03-27 18:16:20,4.0
77,9000000076,1000000076,127,1,0,0,0,Correo Argentino,TRK-Z56VK3U0QJ,DELIVERED,2024-03-02 10:21:11,2024-03-04 10:21:11,2.0
78,9000000077,1000000077,874,2,1,0,0,PICKUP,,SHIPPED,2024-12-04 22:39:17,2024-12-05 22:39:17,1.0
79,9000000078,1000000078,814,1,0,0,0,Correo Argentino,TRK-N8XZ4OSU2M,DELIVERED,2025-01-10 21:43:22,2025-01-13 21:43:22,3.0
80,9000000079,1000000079,1189,1,0,0,0,Correo Argentino,TRK-XADN2TVDNH,SHIPPED,2025-09-17 02:56:19,2025-09-21 02:56:19,4.0
81,9000000080,1000000080,584,1,0,0,0,Correo Argentino,TRK-S1OQO0J4EA,DELIVERED,2024-11-12 06:28:22,2024-11-17 06:28:22,5.0
82,9000000081,1000000081,1433,1,0,0,0,Correo Argentino,TRK-LSXL8NV9UZ,DELIVERED,2025-02-03 01:45:35,2025-02-06 01:45:35,3.0
83,9000000082,1000000082,670,1,0,0,0,Correo Argentino,TRK-4U2I1W5ENR,DELIVERED,2025-09-22 10:27:35,2025-09-25 10:27:35,3.0
84,9000000083,1000000083,464,1,0,0,0,Correo Argentino,TRK-3QNYBMC06W,DELIVERED,2024-02-11 17:47:09,2024-02-15 17:47:09,4.0
85,9000000084,1000000084,535,1,0,0,0,Correo Argentino,TRK-LWD8M7AMND,SHIPPED,2024-11-26 14:26:24,2024-11-29 14:26:24,3.0
86,9000000085,1000000085,655,1,0,0,0,Correo Argentino,TRK-0RBFVTM6X4,DELIVERED,2025-03-02 02:58:24,2025-03-04 02:58:24,2.0
87,9000000086,1000000086,833,1,0,0,0,Correo Argentino,TRK-A169DTQM73,DELIVERED,2025-08-19 10:52:28,2025-08-21 10:52:28,2.0
88,9000000087,1000000087,490,1,0,0,0,Correo Argentino,,CANCELLED,,,
89,9000000088,1000000088,360,1,0,0,0,Correo Argentino,TRK-TBUL818CS4,DELIVERED,2024-02-04 13:58:21,2024-02-09 13:58:21,5.0
90,9000000089,1000000089,1227,1,0,0,0,Correo Argentino,TRK-BJOJ02WY0U,DELIVERED,2025-06-19 12:09:30,2025-06-22 12:09:30,3.0
91,9000000090,1000000090,624,1,0,0,0,Correo Argentino,TRK-E1JQQXF2A8,DELIVERED,2024-01-28 19:31:23,2024-02-01 19:31:23,4.0
92,9000000091,1000000091,228,1,0,0,0,Correo Argentino,TRK-9YZ6V1VTIX,DELIVERED,2024-02-18 18:12:47,2024-02-20 18:12:47,2.0
93,9000000092,1000000092,770,1,0,0,0,Correo Argentino,TRK-UO5Q5LF7GD,DELIVERED,2024-06-14 13:46:23,2024-06-16 13:46:23,2.0
94,9000000093,1000000093,54,2,2,0,0,PICKUP,,DELIVERED,2024-11-14 23:26:31,2024-11-15 23:26:31,1.0
95,9000000094,1000000094,1006,2,4,0,0,PICKUP,,SHIPPED,2024-12-27 03:05:36,2024-12-28 03:05:36,1.0
96,9000000095,1000000095,247,1,0,0,0,Correo Argentino,TRK-RRS7KQI5WW,DELIVERED,2025-09-26 18:29:43,2025-09-30 18:29:43,4.0
97,9000000096,1000000096,1127,2,3,0,0,PICKUP,,DELIVERED,2025-05-23 10:43:41,2025-05-24 10:43:41,1.0
98,9000000097,1000000097,757,2,2,0,0,PICKUP,,DELIVERED,2024-06-12 17:56:54,2024-06-13 17:56:54,1.0
99,9000000098,1000000098,520,1,0,0,0,Correo Argentino,TRK-N1XL8YRR4C,DELIVERED,2025-01-17 08:09:07,2025-01-22 08:09:07,5.0
100,9000000099,1000000099,258,1,0,0,0,Correo Argentino,TRK-HUON3QASLA,DELIVERED,2024-02-28 14:31:08,2024-03-03 14:31:08,4.0
101,9000000100,1000000100,467,1,0,0,0,Correo Argentino,,CANCELLED,,,
102,9000000101,1000000101,3,1,0,0,0,Correo Argentino,TRK-BD9O45FG3M,SHIPPED,2024-03-31 02:45:40,2024-04-05 02:45:40,5.0
103,9000000102,1000000102,334,1,0,0,0,Correo Argentino,TRK-RBXP2IU4CP,DELIVERED,2024-11-20 07:00:43,2024-11-24 07:00:43,4.0
104,9000000103,1000000103,802,2,3,0,0,PICKUP,,READY,2024-03-25 03:53:52,2024-03-26 03:53:52,1.0
105,9000000104,1000000104,999,1,0,0,0,Correo Argentino,TRK-TPWY0TUZG2,DELIVERED,2024-03-24 20:55:17,2024-03-28 20:55:17,4.0
106,9000000105,1000000105,176,1,0,0,0,Correo Argentino,TRK-3BQ6FWSKLW,DELIVERED,2024-05-13 04:27:32,2024-05-16 04:27:32,3.0
107,9000000106,1000000106,801,1,0,0,0,Correo Argentino,TRK-6DCLEDO515,DELIVERED,2025-02-09 08:09:53,2025-02-11 08:09:53,2.0
108,9000000107,1000000107,1113,1,0,0,0,Correo Argentino,TRK-RB1W0XWXVT,DELIVERED,2024-05-23 03:56:26,2024-05-28 03:56:26,5.0
109,9000000108,1000000108,810,2,4,0,0,PICKUP,,DELIVERED,2025-07-04 04:11:46,2025-07-05 04:11:46,1.0
110,9000000109,1000000109,581,2,4,0,0,PICKUP,,DELIVERED,2024-04-22 08:18:05,2024-04-23 08:18:05,1.0
111,9000000110,1000000110,1284,2,2,0,0,PICKUP,,CANCELLED,,,
112,9000000111,1000000111,1333,1,0,0,0,Correo Argentino,TRK-UXV2O2QSZO,DELIVERED,2024-12-21 15:47:41,2024-12-25 15:47:41,4.0
113,9000000112,1000000112,24,2,2,0,0,PICKUP,,SHIPPED,2025-02-28 17:43:31,2025-03-01 17:43:31,1.0
114,9000000113,1000000113,1222,2,1,0,0,PICKUP,,CANCELLED,,,
115,9000000114,1000000114,63,2,1,0,0,PICKUP,,SHIPPED,2024-09-17 08:06:28,2024-09-18 08:06:28,1.0
116,9000000115,1000000115,1078,1,0,0,0,Correo Argentino,TRK-9SFI30M85Y,DELIVERED,2024-02-20 00:47:44,2024-02-22 00:47:44,2.0
117,9000000116,1000000116,1091,1,0,0,0,Correo Argentino,TRK-GCUU54HEAG,DELIVERED,2024-07-02 10:24:47,2024-07-05 10:24:47,3.0
118,9000000117,1000000117,524,1,0,0,0,Correo Argentino,TRK-YVM19QXR2C,DELIVERED,2025-01-20 22:11:52,2025-01-23 22:11:52,3.0
119,9000000118,1000000118,1229,1,0,0,0,Correo Argentino,TRK-JRBNVL0OS3,DELIVERED,2025-08-17 15:04:32,2025-08-19 15:04:32,2.0
120,9000000119,1000000119,458,2,4,0,0,PICKUP,,DELIVERED,2025-07-16 11:54:38,2025-07-17 11:54:38,1.0
121,9000000120,1000000120,68,1,0,0,0,Correo Argentino,TRK-YMYMMHLK1B,DELIVERED,2024-04-19 21:41:14,2024-04-21 21:41:14,2.0
122,9000000121,1000000121,959,2,4,0,0,PICKUP,,DELIVERED,2024-12-20 05:03:44,2024-12-21 05:03:44,1.0
123,9000000122,1000000122,356,2,1,0,0,PICKUP,,DELIVERED,2025-08-30 14:57:49,2025-08-31 14:57:49,1.0
124,9000000123,1000000123,530,1,0,0,0,Correo Argentino,,CANCELLED,,,
125,9000000124,1000000124,1420,1,0,0,0,Correo Argentino,TRK-OUKA4E7YCS,DELIVERED,2024-02-07 12:15:32,2024-02-11 12:15:32,4.0
126,9000000125,1000000125,279,2,3,0,0,PICKUP,,DELIVERED,2024-07-09 08:16:06,2024-07-10 08:16:06,1.0
127,9000000126,1000000126,779,2,3,0,0,PICKUP,,DELIVERED,2024-06-12 02:24:10,2024-06-13 02:24:10,1.0
128,9000000127,1000000127,1383,1,0,0,0,Correo Argentino,TRK-LP15TFTZWC,DELIVERED,2024-02-29 13:19:21,2024-03-04 13:19:21,4.0
129,9000000128,1000000128,1189,1,0,0,0,Correo Argentino,,CANCELLED,,,
130,9000000129,1000000129,1016,1,0,0,0,Correo Argentino,TRK-OTE0Q32RV2,DELIVERED,2025-09-18 22:24:46,2025-09-21 22:24:46,3.0
131,9000000130,1000000130,595,2,3,0,0,PICKUP,,SHIPPED,2025-05-21 02:27:57,2025-05-22 02:27:57,1.0
132,9000000131,1000000131,902,2,4,0,0,PICKUP,,DELIVERED,2024-01-25 03:24:41,2024-01-26 03:24:41,1.0
133,9000000132,1000000132,317,1,0,0,0,Correo Argentino,TRK-ZK0XF0TEFY,DELIVERED,2024-07-27 17:23:51,2024-08-01 17:23:51,5.0
134,9000000133,1000000133,1229,2,2,0,0,PICKUP,,DELIVERED,2024-06-14 15:46:34,2024-06-15 15:46:34,1.0
135,9000000134,1000000134,279,2,3,0,0,PICKUP,,DELIVERED,2024-01-06 02:05:46,2024-01-07 02:05:46,1.0
136,9000000135,1000000135,1498,2,4,0,0,PICKUP,,SHIPPED,2024-05-30 07:35:31,2024-05-31 07:35:31,1.0
137,9000000136,1000000136,140,1,0,0,0,Correo Argentino,TRK-SB9FYY9V3Z,DELIVERED,2025-01-21 19:30:04,2025-01-25 19:30:04,4.0
138,9000000137,1000000137,1115,1,0,0,0,Correo Argentino,TRK-8EM2BGA7SC,SHIPPED,2024-11-16 23:46:06,2024-11-21 23:46:06,5.0
139,9000000138,1000000138,1240,1,0,0,0,Correo Argentino,TRK-W6GIOKOQS8,SHIPPED,2024-01-04 08:23:39,2024-01-08 08:23:39,4.0
140,9000000139,1000000139,590,1,0,0,0,Correo Argentino,TRK-Q8P6U5PS47,DELIVERED,2024-04-07 23:11:09,2024-04-12 23:11:09,5.0
141,9000000140,1000000140,645,2,3,0,0,PICKUP,,DELIVERED,2025-02-17 21:56:48,2025-02-18 21:56:48,1.0
142,9000000141,1000000141,545,2,1,0,0,PICKUP,,DELIVERED,2024-11-30 21:24:24,2024-12-01 21:24:24,1.0
143,9000000142,1000000142,1208,1,0,0,0,Correo Argentino,TRK-AT0A573HXB,DELIVERED,2025-06-26 13:32:09,2025-06-28 13:32:09,2.0
144,9000000143,1000000143,551,2,1,0,0,PICKUP,,DELIVERED,2024-06-06 00:59:40,2024-06-07 00:59:40,1.0
145,9000000144,1000000144,569,2,1,0,0,PICKUP,,CANCELLED,,,
146,9000000145,1000000145,1305,1,0,0,0,Correo Argentino,TRK-5WJ0VSGHJU,DELIVERED,2025-07-20 14:47:44,2025-07-24 14:47:44,4.0
147,9000000146,1000000146,280,1,0,0,0,Correo Argentino,TRK-XNALT4U6O3,DELIVERED,2024-05-06 01:52:36,2024-05-11 01:52:36,5.0
148,9000000147,1000000147,1338,1,0,0,0,Correo Argentino,TRK-TVS9QKJFPY,DELIVERED,2024-12-08 21:23:08,2024-12-13 21:23:08,5.0
149,9000000148,1000000148,84,1,0,0,0,Correo Argentino,TRK-IAC72SYOJT,DELIVERED,2025-06-22 18:11:01,2025-06-25 18:11:01,3.0
150,9000000149,1000000149,655,1,0,0,0,Correo Argentino,TRK-86P5XH4ZUZ,DELIVERED,2025-01-22 22:14:19,2025-01-27 22:14:19,5.0
151,9000000150,1000000150,513,2,4,0,0,PICKUP,,DELIVERED,2025-05-30 23:20:50,2025-05-31 23:20:50,1.0
152,9000000151,1000000151,884,2,3,0,0,PICKUP,,DELIVERED,2024-04-16 17:06:04,2024-04-17 17:06:04,1.0
153,9000000152,1000000152,385,2,2,0,0,PICKUP,,DELIVERED,2024-01-08 00:18:03,2024-01-09 00:18:03,1.0
154,9000000153,1000000153,723,2,2,0,0,PICKUP,,CANCELLED,,,
155,9000000154,1000000154,110,2,1,0,0,PICKUP,,SHIPPED,2024-07-01 13:02:42,2024-07-02 13:02:42,1.0
156,9000000155,1000000155,1197,1,0,0,0,Correo Argentino,TRK-MPCEM8ML7K,DELIVERED,2024-02-13 00:38:46,2024-02-17 00:38:46,4.0
157,9000000156,1000000156,833,2,2,0,0,PICKUP,,DELIVERED,2024-10-29 15:18:07,2024-10-30 15:18:07,1.0
158,9000000157,1000000157,371,2,3,0,0,PICKUP,,CANCELLED,,,
159,9000000158,1000000158,905,2,1,0,0,PICKUP,,DELIVERED,2024-04-24 23:37:56,2024-04-25 23:37:56,1.0
160,9000000159,1000000159,389,1,0,0,0,Correo Argentino,TRK-7LRC6G1HAV,DELIVERED,2024-07-15 06:58:24,2024-07-20 06:58:24,5.0
161,9000000160,1000000160,1299,2,4,0,0,PICKUP,,DELIVERED,2024-06-13 10:29:35,2024-06-14 10:29:35,1.0
162,9000000161,1000000161,725,1,0,0,0,Correo Argentino,TRK-ZU6O2A2X17,DELIVERED,2024-10-22 00:31:01,2024-10-26 00:31:01,4.0
163,9000000162,1000000162,645,2,4,0,0,PICKUP,,SHIPPED,2025-07-31 20:20:03,2025-08-01 20:20:03,1.0
164,9000000163,1000000163,584,1,0,0,0,Correo Argentino,TRK-U6UA2YY3HB,DELIVERED,2024-02-25 10:30:38,2024-02-29 10:30:38,4.0
165,9000000164,1000000164,436,1,0,0,0,Correo Argentino,TRK-TMG2PU2NU4,DELIVERED,2025-02-23 06:18:41,2025-02-25 06:18:41,2.0
166,9000000165,1000000165,293,1,0,0,0,Correo Argentino,TRK-D8V0DBNSG3,DELIVERED,2025-08-28 08:06:56,2025-09-01 08:06:56,4.0
167,9000000166,1000000166,1065,1,0,0,0,Correo Argentino,TRK-TTEUGQV2X2,DELIVERED,2025-07-28 20:39:32,2025-07-30 20:39:32,2.0
168,9000000167,1000000167,1234,1,0,0,0,Correo Argentino,,CANCELLED,,,
169,9000000168,1000000168,400,1,0,0,0,Correo Argentino,,CANCELLED,,,
170,9000000169,1000000169,251,1,0,0,0,Correo Argentino,TRK-NM8H174TJH,DELIVERED,2024-07-09 20:03:47,2024-07-14 20:03:47,5.0
171,9000000170,1000000170,764,2,4,0,0,PICKUP,,SHIPPED,2024-03-29 08:07:40,2024-03-30 08:07:40,1.0
172,9000000171,1000000171,1490,1,0,0,0,Correo Argentino,TRK-GZTE0MZNMX,READY,2025-02-28 13:25:36,2025-03-03 13:25:36,3.0
173,9000000172,1000000172,181,1,0,0,0,Correo Argentino,TRK-DGOJGP2GBU,DELIVERED,2024-05-08 09:39:45,2024-05-12 09:39:45,4.0
174,9000000173,1000000173,693,1,0,0,0,Correo Argentino,TRK-VBAXIAQJKB,DELIVERED,2025-06-17 15:40:09,2025-06-22 15:40:09,5.0
175,9000000174,1000000174,672,2,2,0,0,PICKUP,,DELIVERED,2024-09-07 01:13:23,2024-09-08 01:13:23,1.0
176,9000000175,1000000175,786,1,0,0,0,Correo Argentino,TRK-WD62JC0VLK,SHIPPED,2024-06-01 19:23:40,2024-06-04 19:23:40,3.0
177,9000000176,1000000176,1347,2,2,0,0,PICKUP,,DELIVERED,2025-02-25 07:13:53,2025-02-26 07:13:53,1.0
178,9000000177,1000000177,628,1,0,0,0,Correo Argentino,TRK-TSU2MSGQGV,DELIVERED,2024-11-24 21:44:13,2024-11-27 21:44:13,3.0
179,9000000178,1000000178,1485,2,2,0,0,PICKUP,,SHIPPED,2025-05-03 06:20:13,2025-05-04 06:20:13,1.0
180,9000000179,1000000179,805,1,0,0,0,Correo Argentino,TRK-DOH59G5HG5,DELIVERED,2025-08-13 08:58:40,2025-08-16 08:58:40,3.0
181,9000000180,1000000180,445,1,0,0,0,Correo Argentino,TRK-WTK41NS6CW,DELIVERED,2024-05-22 07:44:42,2024-05-24 07:44:42,2.0
182,9000000181,1000000181,560,1,0,0,0,Correo Argentino,TRK-2HK5GYIMQ5,DELIVERED,2024-11-13 19:15:20,2024-11-15 19:15:20,2.0
183,9000000182,1000000182,403,1,0,0,0,Correo Argentino,TRK-3VO06V5F4C,DELIVERED,2024-09-09 21:03:06,2024-09-16 21:03:06,7.0
184,9000000183,1000000183,693,2,1,0,0,PICKUP,,SHIPPED,2024-10-26 15:02:26,2024-10-27 15:02:26,1.0
185,9000000184,1000000184,274,2,2,0,0,PICKUP,,SHIPPED,2025-05-11 05:25:54,2025-05-12 05:25:54,1.0
186,9000000185,1000000185,804,1,0,0,0,Correo Argentino,TRK-XVT3OPQZDN,DELIVERED,2024-07-19 22:03:50,2024-07-24 22:03:50,5.0
187,9000000186,1000000186,1495,1,0,0,0,Correo Argentino,TRK-6LCGCSEFEL,DELIVERED,2024-07-31 17:31:33,2024-08-02 17:31:33,2.0
188,9000000187,1000000187,48,2,1,0,0,PICKUP,,DELIVERED,2025-02-12 20:45:02,2025-02-13 20:45:02,1.0
189,9000000188,1000000188,661,2,3,0,0,PICKUP,,DELIVERED,2025-08-23 17:59:12,2025-08-24 17:59:12,1.0
190,9000000189,1000000189,984,1,0,0,0,Correo Argentino,TRK-MZ7KO0QL4T,SHIPPED,2024-05-03 13:34:34,2024-05-05 13:34:34,2.0
