date_sk,date,year,month,month_name,day,day_of_week,day_name,week_of_year,quarter,is_weekend
20230602,2023-06-02,2023,6,June,2,5,Friday,22,2,0
20230603,2023-06-03,2023,6,June,3,6,Saturday,22,2,1
20230604,2023-06-04,2023,6,June,4,7,Sunday,22,2,1
20230605,2023-06-05,2023,6,June,5,1,Monday,23,2,0
20230606,2023-06-06,2023,6,June,6,2,Tuesday,23,2,0
20230607,2023-06-07,2023,6,June,7,3,Wednesday,23,2,0
20230608,2023-06-08,2023,6,June,8,4,Thursday,23,2,0
20230609,2023-06-09,2023,6,June,9,5,Friday,23,2,0
20230610,2023-06-10,2023,6,June,10,6,Saturday,23,2,1
20230611,2023-06-11,2023,6,June,11,7,Sunday,23,2,1
20230612,2023-06-12,2023,6,June,12,1,Monday,24,2,0
20230613,2023-06-13,2023,6,June,13,2,Tuesday,24,2,0
20230614,2023-06-14,2023,6,June,14,3,Wednesday,24,2,0
20230615,2023-06-15,2023,6,June,15,4,Thursday,24,2,0
20230616,2023-06-16,2023,6,June,16,5,Friday,24,2,0
20230617,2023-06-17,2023,6,June,17,6,Saturday,24,2,1
20230618,2023-06-18,2023,6,June,18,7,Sunday,24,2,1
20230619,2023-06-19,2023,6,June,19,1,Monday,25,2,0
20230620,2023-06-20,2023,6,June,20,2,Tuesday,25,2,0
20230621,2023-06-21,2023,6,June,21,3,Wednesday,25,2,0
20230622,2023-06-22,2023,6,June,22,4,Thursday,25,2,0
20230623,2023-06-23,2023,6,June,23,5,Friday,25,2,0
20230624,2023-06-24,2023,6,June,24,6,Saturday,25,2,1
20230625,2023-06-25,2023,6,June,25,7,Sunday,25,2,1
20230626,2023-06-26,2023,6,June,26,1,Monday,26,2,0
20230627,2023-06-27,2023,6,June,27,2,Tuesday,26,2,0
20230628,2023-06-28,2023,6,June,28,3,Wednesday,26,2,0
20230629,2023-06-29,2023,6,June,29,4,Thursday,26,2,0
20230630,2023-06-30,2023,6,June,30,5,Friday,26,2,0
20230701,2023-07-01,2023,7,July,1,6,Saturday,26,3,1
20230702,2023-07-02,2023,7,July,2,7,Sunday,26,3,1
20230703,2023-07-03,2023,7,July,3,1,Monday,27,3,0
20230704,2023-07-04,2023,7,July,4,2,Tuesday,27,3,0
20230705,2023-07-05,2023,7,July,5,3,Wednesday,27,3,0
20230706,2023-07-06,2023,7,July,6,4,Thursday,27,3,0
20230707,2023-07-07,2023,7,July,7,5,Friday,27,3,0
20230708,2023-07-08,2023,7,July,8,6,Saturday,27,3,1
20230709,2023-07-09,2023,7,July,9,7,Sunday,27,3,1
20230710,2023-07-10,2023,7,July,10,1,Monday,28,3,0
20230711,2023-07-11,2023,7,July,11,2,Tuesday,28,3,0
20230712,2023-07-12,2023,7,July,12,3,Wednesday,28,3,0
20230713,2023-07-13,2023,7,July,13,4,Thursday,28,3,0
20230714,2023-07-14,2023,7,July,14,5,Friday,28,3,0
20230715,2023-07-15,2023,7,July,15,6,Saturday,28,3,1
20230716,2023-07-16,2023,7,July,16,7,Sunday,28,3,1
20230717,2023-07-17,2023,7,July,17,1,Monday,29,3,0
20230718,2023-07-18,2023,7,July,18,2,Tuesday,29,3,0
20230719,2023-07-19,2023,7,July,19,3,Wednesday,29,3,0
20230720,2023-07-20,2023,7,July,20,4,Thursday,29,3,0
20230721,2023-07-21,2023,7,July,21,5,Friday,29,3,0
20230722,2023-07-22,2023,7,July,22,6,Saturday,29,3,1
20230723,2023-07-23,2023,7,July,23,7,Sunday,29,3,1
20230724,2023-07-24,2023,7,July,24,1,Monday,30,3,0
20230725,2023-07-25,2023,7,July,25,2,Tuesday,30,3,0
20230726,2023-07-26,2023,7,July,26,3,Wednesday,30,3,0
20230727,2023-07-27,2023,7,July,27,4,Thursday,30,3,0
20230728,2023-07-28,2023,7,July,28,5,Friday,30,3,0
20230729,2023-07-29,2023,7,July,29,6,Saturday,30,3,1
20230730,2023-07-30,2023,7,July,30,7,Sunday,30,3,1
20230731,2023-07-31,2023,7,July,31,1,Monday,31,3,0
20230801,2023-08-01,2023,8,August,1,2,Tuesday,31,3,0
20230802,2023-08-02,2023,8,August,2,3,Wednesday,31,3,0
20230803,2023-08-03,2023,8,August,3,4,Thursday,31,3,0
20230804,2023-08-04,2023,8,August,4,5,Friday,31,3,0
20230805,2023-08-05,2023,8,August,5,6,Saturday,31,3,1
20230806,2023-08-06,2023,8,August,6,7,Sunday,31,3,1
20230807,2023-08-07,2023,8,August,7,1,Monday,32,3,0
20230808,2023-08-08,2023,8,August,8,2,Tuesday,32,3,0
20230809,2023-08-09,2023,8,August,9,3,Wednesday,32,3,0
20230810,2023-08-10,2023,8,August,10,4,Thursday,32,3,0
20230811,2023-08-11,2023,8,August,11,5,Friday,32,3,0
20230812,2023-08-12,2023,8,August,12,6,Saturday,32,3,1
20230813,2023-08-13,2023,8,August,13,7,Sunday,32,3,1
20230814,2023-08-14,2023,8,August,14,1,Monday,33,3,0
20230815,2023-08-15,2023,8,August,15,2,Tuesday,33,3,0
20230816,2023-08-16,2023,8,August,16,3,Wednesday,33,3,0
20230817,2023-08-17,2023,8,August,17,4,Thursday,33,3,0
20230818,2023-08-18,2023,8,August,18,5,Friday,33,3,0
20230819,2023-08-19,2023,8,August,19,6,Saturday,33,3,1
20230820,2023-08-20,2023,8,August,20,7,Sunday,33,3,1
20230821,2023-08-21,2023,8,August,21,1,Monday,34,3,0
20230822,2023-08-22,2023,8,August,22,2,Tuesday,34,3,0
20230823,2023-08-23,2023,8,August,23,3,Wednesday,34,3,0
20230824,2023-08-24,2023,8,August,24,4,Thursday,34,3,0
20230825,2023-08-25,2023,8,August,25,5,Friday,34,3,0
20230826,2023-08-26,2023,8,August,26,6,Saturday,34,3,1
20230827,2023-08-27,2023,8,August,27,7,Sunday,34,3,1
20230828,2023-08-28,2023,8,August,28,1,Monday,35,3,0
20230829,2023-08-29,2023,8,August,29,2,Tuesday,35,3,0
20230830,2023-08-30,2023,8,August,30,3,Wednesday,35,3,0
20230831,2023-08-31,2023,8,August,31,4,Thursday,35,3,0
20230901,2023-09-01,2023,9,September,1,5,Friday,35,3,0
20230902,2023-09-02,2023,9,September,2,6,Saturday,35,3,1
20230903,2023-09-03,2023,9,September,3,7,Sunday,35,3,1
20230904,2023-09-04,2023,9,September,4,1,Monday,36,3,0
20230905,2023-09-05,2023,9,September,5,2,Tuesday,36,3,0
20230906,2023-09-06,2023,9,September,6,3,Wednesday,36,3,0
20230907,2023-09-07,2023,9,September,7,4,Thursday,36,3,0
20230908,2023-09-08,2023,9,September,8,5,Friday,36,3,0
20230909,2023-09-09,2023,9,September,9,6,Saturday,36,3,1
20230910,2023-09-10,2023,9,September,10,7,Sunday,36,3,1
20230911,2023-09-11,2023,9,September,11,1,Monday,37,3,0
20230912,2023-09-12,2023,9,September,12,2,Tuesday,37,3,0
20230913,2023-09-13,2023,9,September,13,3,Wednesday,37,3,0
20230914,2023-09-14,2023,9,September,14,4,Thursday,37,3,0
20230915,2023-09-15,2023,9,September,15,5,Friday,37,3,0
20230916,2023-09-16,2023,9,September,16,6,Saturday,37,3,1
20230917,2023-09-17,2023,9,September,17,7,Sunday,37,3,1
20230918,2023-09-18,2023,9,September,18,1,Monday,38,3,0
20230919,2023-09-19,2023,9,September,19,2,Tuesday,38,3,0
20230920,2023-09-20,2023,9,September,20,3,Wednesday,38,3,0
20230921,2023-09-21,2023,9,September,21,4,Thursday,38,3,0
20230922,2023-09-22,2023,9,September,22,5,Friday,38,3,0
20230923,2023-09-23,2023,9,September,23,6,Saturday,38,3,1
20230924,2023-09-24,2023,9,September,24,7,Sunday,38,3,1
20230925,2023-09-25,2023,9,September,25,1,Monday,39,3,0
20230926,2023-09-26,2023,9,September,26,2,Tuesday,39,3,0
20230927,2023-09-27,2023,9,September,27,3,Wednesday,39,3,0
20230928,2023-09-28,2023,9,September,28,4,Thursday,39,3,0
20230929,2023-09-29,2023,9,September,29,5,Friday,39,3,0
20230930,2023-09-30,2023,9,September,30,6,Saturday,39,3,1
20231001,2023-10-01,2023,10,October,1,7,Sunday,39,4,1
20231002,2023-10-02,2023,10,October,2,1,Monday,40,4,0
20231003,2023-10-03,2023,10,October,3,2,Tuesday,40,4,0
20231004,2023-10-04,2023,10,October,4,3,Wednesday,40,4,0
20231005,2023-10-05,2023,10,October,5,4,Thursday,40,4,0
20231006,2023-10-06,2023,10,October,6,5,Friday,40,4,0
20231007,2023-10-07,2023,10,October,7,6,Saturday,40,4,1
20231008,2023-10-08,2023,10,October,8,7,Sunday,40,4,1
20231009,2023-10-09,2023,10,October,9,1,Monday,41,4,0
20231010,2023-10-10,2023,10,October,10,2,Tuesday,41,4,0
20231011,2023-10-11,2023,10,October,11,3,Wednesday,41,4,0
20231012,2023-10-12,2023,10,October,12,4,Thursday,41,4,0
20231013,2023-10-13,2023,10,October,13,5,Friday,41,4,0
20231014,2023-10-14,2023,10,October,14,6,Saturday,41,4,1
20231015,2023-10-15,2023,10,October,15,7,Sunday,41,4,1
20231016,2023-10-16,2023,10,October,16,1,Monday,42,4,0
20231017,2023-10-17,2023,10,October,17,2,Tuesday,42,4,0
20231018,2023-10-18,2023,10,October,18,3,Wednesday,42,4,0
20231019,2023-10-19,2023,10,October,19,4,Thursday,42,4,0
20231020,2023-10-20,2023,10,October,20,5,Friday,42,4,0
20231021,2023-10-21,2023,10,October,21,6,Saturday,42,4,1
20231022,2023-10-22,2023,10,October,22,7,Sunday,42,4,1
20231023,2023-10-23,2023,10,October,23,1,Monday,43,4,0
20231024,2023-10-24,2023,10,October,24,2,Tuesday,43,4,0
20231025,2023-10-25,2023,10,October,25,3,Wednesday,43,4,0
20231026,2023-10-26,2023,10,October,26,4,Thursday,43,4,0
20231027,2023-10-27,2023,10,October,27,5,Friday,43,4,0
20231028,2023-10-28,2023,10,October,28,6,Saturday,43,4,1
20231029,2023-10-29,2023,10,October,29,7,Sunday,43,4,1
20231030,2023-10-30,2023,10,October,30,1,Monday,44,4,0
20231031,2023-10-31,2023,10,October,31,2,Tuesday,44,4,0
20231101,2023-11-01,2023,11,November,1,3,Wednesday,44,4,0
20231102,2023-11-02,2023,11,November,2,4,Thursday,44,4,0
20231103,2023-11-03,2023,11,November,3,5,Friday,44,4,0
20231104,2023-11-04,2023,11,November,4,6,Saturday,44,4,1
20231105,2023-11-05,2023,11,November,5,7,Sunday,44,4,1
20231106,2023-11-06,2023,11,November,6,1,Monday,45,4,0
20231107,2023-11-07,2023,11,November,7,2,Tuesday,45,4,0
20231108,2023-11-08,2023,11,November,8,3,Wednesday,45,4,0
20231109,2023-11-09,2023,11,November,9,4,Thursday,45,4,0
20231110,2023-11-10,2023,11,November,10,5,Friday,45,4,0
20231111,2023-11-11,2023,11,November,11,6,Saturday,45,4,1
20231112,2023-11-12,2023,11,November,12,7,Sunday,45,4,1
20231113,2023-11-13,2023,11,November,13,1,Monday,46,4,0
20231114,2023-11-14,2023,11,November,14,2,Tuesday,46,4,0
20231115,2023-11-15,2023,11,November,15,3,Wednesday,46,4,0
20231116,2023-11-16,2023,11,November,16,4,Thursday,46,4,0
20231117,2023-11-17,2023,11,November,17,5,Friday,46,4,0
20231118,2023-11-18,2023,11,November,18,6,Saturday,46,4,1
20231119,2023-11-19,2023,11,November,19,7,Sunday,46,4,1
20231120,2023-11-20,2023,11,November,20,1,Monday,47,4,0
20231121,2023-11-21,2023,11,November,21,2,Tuesday,47,4,0
20231122,2023-11-22,2023,11,November,22,3,Wednesday,47,4,0
20231123,2023-11-23,2023,11,November,23,4,Thursday,47,4,0
20231124,2023-11-24,2023,11,November,24,5,Friday,47,4,0
20231125,2023-11-25,2023,11,November,25,6,Saturday,47,4,1
20231126,2023-11-26,2023,11,November,26,7,Sunday,47,4,1
20231127,2023-11-27,2023,11,November,27,1,Monday,48,4,0
20231128,2023-11-28,2023,11,November,28,2,Tuesday,48,4,0
20231129,2023-11-29,2023,11,November,29,3,Wednesday,48,4,0
20231130,2023-11-30,2023,11,November,30,4,Thursday,48,4,0
20231201,2023-12-01,2023,12,December,1,5,Friday,48,4,0
20231202,2023-12-02,2023,12,December,2,6,Saturday,48,4,1
20231203,2023-12-03,2023,12,December,3,7,Sunday,48,4,1
20231204,2023-12-04,2023,12,December,4,1,Monday,49,4,0
20231205,2023-12-05,2023,12,December,5,2,Tuesday,49,4,0
20231206,2023-12-06,2023,12,December,6,3,Wednesday,49,4,0
20231207,2023-12-07,2023,12,December,7,4,Thursday,49,4,0
20231208,2023-12-08,2023,12,December,8,5,Friday,49,4,0
20231209,2023-12-09,2023,12,December,9,6,Saturday,49,4,1
20231210,2023-12-10,2023,12,December,10,7,Sunday,49,4,1
20231211,2023-12-11,2023,12,December,11,1,Monday,50,4,0
20231212,2023-12-12,2023,12,December,12,2,Tuesday,50,4,0
20231213,2023-12-13,2023,12,December,13,3,Wednesday,50,4,0
20231214,2023-12-14,2023,12,December,14,4,Thursday,50,4,0
20231215,2023-12-15,2023,12,December,15,5,Friday,50,4,0
20231216,2023-12-16,2023,12,December,16,6,Saturday,50,4,1
20231217,2023-12-17,2023,12,December,17,7,Sunday,50,4,1
20231218,2023-12-18,2023,12,December,18,1,Monday,51,4,0
20231219,2023-12-19,2023,12,December,19,2,Tuesday,51,4,0
20231220,2023-12-20,2023,12,December,20,3,Wednesday,51,4,0
20231221,2023-12-21,2023,12,December,21,4,Thursday,51,4,0
20231222,2023-12-22,2023,12,December,22,5,Friday,51,4,0
20231223,2023-12-23,2023,12,December,23,6,Saturday,51,4,1
20231224,2023-12-24,2023,12,December,24,7,Sunday,51,4,1
20231225,2023-12-25,2023,12,December,25,1,Monday,52,4,0
20231226,2023-12-26,2023,12,December,26,2,Tuesday,52,4,0
20231227,2023-12-27,2023,12,December,27,3,Wednesday,52,4,0
20231228,2023-12-28,2023,12,December,28,4,Thursday,52,4,0
20231229,2023-12-29,2023,12,December,29,5,Friday,52,4,0
20231230,2023-12-30,2023,12,December,30,6,Saturday,52,4,1
20231231,2023-12-31,2023,12,December,31,7,Sunday,52,4,1
